amenity,name,latitude,longitude,addr:street
marketplace,Mercado Antofagasta,-20.4614021,-66.8251353,
marketplace,14 de Septiembre,-16.542686,-68.1740544,Calle 30
marketplace,Mercado 11 de Mayo,-17.425276,-65.7225919,
marketplace,Mercado Municipal de Reyes,-14.2988681,-67.3345281,
marketplace,Mercado La rotonda,-17.8251714,-63.1314442,
marketplace,,-19.1816248,-64.9122229,
marketplace,,-17.1983612,-64.5377599,
marketplace,Savi Srl,-17.230781,-62.1707445,
marketplace,Comarapa,-17.9156037,-64.5298861,
marketplace,Mercado Santa Ana,-19.0532654,-65.2533293,
marketplace,Mercado Evo Morales Ayma,-19.0695088,-65.2427471,RN6: Sucre-Tarabuco
marketplace,Mercado El Trillo,-17.7605707,-63.1280068,
marketplace,,-17.3643258,-66.1769912,
marketplace,Mercado Popular Pura Pura,-16.4877884,-68.1509173,
marketplace,Feria Puente Vela,-16.5987951,-68.1840729,
marketplace,Mercado Young,-17.9796196,-67.1320534,
marketplace,Mercado de Trojes,-17.3455704,-66.204106,
marketplace,Mercado de Frutas,-20.64222,-65.2101431,
marketplace,Mercado El Palmar,-21.8791286,-63.6137575,
marketplace,Mercado Bolívar,-17.9722097,-67.105128,
marketplace,Mercado Campesino,-18.4924682,-64.106678,
marketplace,EcoTambo,-16.5134761,-68.1342533,
marketplace,,-16.5085949,-68.1109271,
marketplace,Poroma,-18.5385208,-65.4257394,
marketplace,Tienda de Productos,-21.5429191,-64.7142341,Calle Juan de Dios Trigo
marketplace,Mercado San Antonio,-19.0505541,-65.2407775,
marketplace,Mercado Artesanal,-20.3022546,-66.9380759,
marketplace,Mercado Bajo Mariscal Santa Cruz,-16.4925281,-68.1584751,
marketplace,Bodega Chapas,-17.3750327,-63.2430667,
marketplace,Gran mercado,-14.8374538,-64.9040718,
marketplace,Almacen MajPrat San Lorenzo,-16.8011784,-65.430036,
marketplace,,-17.3685006,-66.1397678,
marketplace,,-17.3684292,-66.1397414,
marketplace,Mercado Principal,-18.9740222,-58.2376219,
marketplace,Mercado Alto Mariscal Santa Cruz,-16.4930346,-68.160447,Avenida Kollasuyo
marketplace,Almacen Campo 2 Nueva Esperanza,-17.4412047,-60.6329008,
marketplace,mercado de fruta,-16.4952753,-68.1551681,
marketplace,Feria Villarroel,-17.3725142,-66.1590579,
marketplace,Mercado Central Distrito V Trojes,-17.3458794,-66.2035626,
marketplace,Mercado Miami,-17.4050965,-66.1552582,
marketplace,Mercado Coraca,-17.3979717,-66.1873565,
marketplace,Miami,-14.8397119,-64.9044955,
marketplace,Feria (Domingo tarde),-21.4358889,-65.7226154,
marketplace,Mrcado Asociación 15 de Agosto,-17.4054494,-66.154838,
marketplace,Tienda de barrio,-16.5079125,-68.1331904,Calle Harrington
marketplace,,-16.5077547,-68.1340699,Calle Landaeta
marketplace,tienda de barrio,-16.507938,-68.1325268,Calle Abdón Saavedra
marketplace,MERCADO BOLIVAR,-21.5363425,-64.7204201,
marketplace,Mercado Municipal Villa El Carmen,-21.7906439,-63.5704211,
marketplace,Mercado San Bernardo,-21.5253533,-64.7236763,
marketplace,avaroa,-21.521648,-64.730984,
marketplace,Feria de Bella Vista,-17.3181643,-66.2844167,
marketplace,Almacen Triple B,-17.4444098,-66.1253297,Avenida Siglo XX
marketplace,Mercado El Paraiso,-17.9986012,-67.111651,
marketplace,Fruit and vegatebles,-16.5009363,-68.142085,
marketplace,MicroMarket Junta de Fomento San Vicente,-21.2679052,-66.3162458,
marketplace,Mercado Municipal de San Matias,-16.3599582,-58.4020703,
marketplace,Mercado Municipal de Mataral,-18.1155703,-64.2154366,RN7: Mataral-Samaipata
marketplace,Mercado Triángulo,-17.3998055,-66.1502771,
marketplace,Las Torres,-17.3810005,-66.1999089,
marketplace,Mercadillo del Barrio Mendez Arcos,-21.5341913,-64.7478218,
marketplace,Mercado Central,-21.6967898,-64.6541543,
marketplace,,-21.537569,-64.7541626,Avenida 6 de agosto
marketplace,,-21.5377802,-64.7536353,Avenida Heroes de la Independencia
marketplace,,-21.5376117,-64.7541663,Avenida 6 de agosto
marketplace,,-21.5354841,-64.7538344,Avenida 6 de agosto
marketplace,Comercial Cristina,-21.5363798,-64.7538539,Avenida 6 de agosto
marketplace,,-21.5364354,-64.7539681,Avenida 6 de agosto
marketplace,,-21.5378877,-64.7537851,Avenida Heroes de la Independencia
marketplace,,-21.5380196,-64.7540771,Avenida 6 de agosto
marketplace,,-21.5375185,-64.7541567,Avenida 6 de agosto
marketplace,,-21.5382289,-64.754212,Avenida 6 de agosto
marketplace,,-21.5357601,-64.7547458,Pasaje Los Molles
marketplace,,-21.5373615,-64.7539988,Avenida 6 de agosto
marketplace,Mercado Central Toledo,-18.18458,-67.4079983,
marketplace,Mercado de Morochata,-17.2310623,-66.5332459,
marketplace,Mercado de Plantas,-19.0501845,-65.2497708,
marketplace,Mercado Villa 1° de Mayo,-17.7980539,-63.1325937,
marketplace,,-13.7702024,-68.1269982,
marketplace,,-16.5842981,-68.236082,
marketplace,Mercado Ciudad Satélite,-16.5247315,-68.1508723,
marketplace,Mercado Villa Obrajes,-17.4054331,-66.0159665,
