amenity,name,latitude,longitude,addr:street
bank,Banco Sol,-11.0333922,-68.7750231,
bank,Banco Prodem,-11.0272784,-68.7603024,
bank,Banco Unión Central,-11.0228933,-68.7596892,
bank,Banco Mercantil,-11.0186316,-68.7532079,
bank,Banco Nacional de Bolivia,-11.0187938,-68.7533357,
bank,Mutual Pando,-11.018869,-68.7541714,
bank,Banco Prodem,-11.0187197,-68.7535558,
bank,Banco Unión,-11.0182429,-68.7539801,
bank,PRODEM,-17.545626,-65.8367129,
bank,FASSIL,-17.5457319,-65.8370527,
bank,Los Andes,-17.5455774,-65.8374324,
bank,Cooperativa San Jose,-17.5449649,-65.836221,
bank,Banco Unión,-17.5467964,-65.8363131,
bank,Sol,-17.5449604,-65.8361431,
bank,BancoSol,-16.5238373,-68.1515917,Municipio de El Alto
bank,BDP Banco de Desarrollo Productivo,-16.522903,-68.1539011,Municipio El Alto
bank,Banco FIE,-16.5222042,-68.1556875,Municipio El Alto
bank,Fortaleza,-17.5444804,-65.8368919,
bank,EcoFuturo,-18.2009496,-65.1795562,
bank,Sol,-17.5454445,-65.8358569,
bank,Moneygram,-17.5449608,-65.8361817,
bank,Fie,-17.5451936,-65.8371648,
bank,PRODEM,-17.4007803,-66.1538603,
bank,,-17.4007257,-66.1540219,
bank,CIDRE,-17.3961209,-66.1808306,
bank,Cooperativa San Antonio,-17.3726234,-66.1633582,
bank,La Promotora,-17.3733269,-66.1523555,Cochabamba
bank,Banco Unión,-16.5104412,-68.1273993,La Paz
bank,Corsario Trading,-17.7570255,-63.1989724,
bank,Banco Union,-16.4983531,-68.1230127,
bank,Banco de Crédito de Bolivia,-17.380427,-66.1512787,Cochabamba
bank,Cooperativa de Ahorro y Crédito,-17.3609857,-66.1705361,
bank,Banco Comunidad,-17.3866417,-66.1561326,Cochabamba
bank,Cooperativa Jesus Nazareno,-17.3935681,-66.1551171,
bank,Banco de Desarrollo Productivo,-17.3942159,-66.1558374,
bank,Banco Ganadero,-17.783809,-63.2083172,
bank,Banco Mercantil Santa Cruz,-17.7838326,-63.2086066,
bank,BANCO FORTALEZA,-16.5464437,-68.0766607,
bank,CACEF,-17.4263813,-65.7226609,
bank,Banco Prodem,-16.5109519,-68.1275139,La Paz
bank,BCP,-17.7953176,-63.192801,
bank,Mutual La Primera,-16.5105601,-68.1248324,La Paz
bank,BBVA Previsión,-17.7723861,-63.1905331,
bank,Banco FIE,-17.7649855,-63.1953909,
bank,,-17.3821432,-66.1753543,
bank,Banco Nacional de Bolivia,-17.3883344,-66.1798412,
bank,Banco UNION,-16.523317,-68.1521686,Municipio El Alto
bank,Banco Nacional de Bolivia - Agencia America Este,-17.3736481,-66.1469249,Cochabamba
bank,Banco Fassil,-17.5098759,-63.1678163,
bank,Banco Mercantil Santa Cruz (BMSC),-17.5102437,-63.1676519,
bank,Banco FIE,-17.7950353,-63.2037273,
bank,Banco Los Andes ProCredit,-17.7941927,-63.2035293,
bank,BancoSol,-17.7944173,-63.2037607,
bank,Cooperativa Jesús Nazareno,-17.7945016,-63.2037772,
bank,Cooperative de Ahorro y Credito Abierta Progreso,-17.7955357,-63.2035329,
bank,Banco Ecofuturo,-17.7942789,-63.2036138,
bank,Banco Fortaleza,-17.7979113,-63.2027308,
bank,Banco Unión - Agencia Tiquipaya,-17.3386644,-66.2210068,Tiquipaya
bank,Banco Económico,-17.755206,-63.1982123,Santa Cruz de la Sierra
bank,Banco Fassil,-17.7553059,-63.1983883,Santa Cruz de la Sierra
bank,Banco Union,-17.9661023,-67.1091698,
bank,BancoSol,-16.5045056,-68.2491253,
bank,Banco Nacional de Bolivia,-10.8111422,-65.3521435,
bank,Banco Fie - Agencia,-16.4976941,-68.2298544,El Alto
bank,Banco Prodem,-16.4998218,-68.1744387,
bank,Banco Union,-16.5011169,-68.1712328,
bank,Banco Prodem,-16.5843558,-68.1853179,
bank,Banco Fassil,-16.5855946,-68.1852104,
bank,Banco Los Andes,-16.6346014,-68.1810781,
bank,Banco Fie,-16.4945664,-68.1943092,
bank,Banco Fie,-16.5067029,-68.1639019,El Alto
bank,Banco Prodem,-16.5076394,-68.1642123,El Alto
bank,Banco Bisa,-16.5808917,-68.1848998,
bank,Banco Fie,-16.5851977,-68.1852158,
bank,Banco Fie,-16.6191095,-68.1821511,Cruce Ventilla
bank,Banco Ganadero,-16.5092376,-68.1643099,El Alto
bank,Banco Fie,-16.5355953,-68.1737399,
bank,Banco Union,-16.5799062,-68.1857067,
bank,BancoSol,-16.5847834,-68.1852958,
bank,BancoSol,-16.6195078,-68.1829036,
bank,Fassil,-17.3767534,-66.1728608,Cochabamba
bank,Cooperativa Jesús Nazareno,-18.3313688,-59.7551904,Roboré
bank,Banco Ecofutura,-17.9716138,-67.0937622,
bank,Banco Fortaleza,-17.9693814,-67.1026575,
bank,Banco Ganadero - Agencia,-17.970396,-67.112592,
bank,Banco Fie - Agencia,-17.9686337,-67.1119025,Oruro
bank,Banco Prodem - Agencia,-17.9685102,-67.1118386,Oruro
bank,Banco FIE,-17.79679,-63.1908605,
bank,Banco Fassil,-17.3727383,-66.1562259,Cochabamba
bank,FIE,-19.021574,-65.2481834,
bank,Banco EcoFuturo,-16.3779305,-60.9627603,
bank,BISA,-16.4956476,-68.1451201,
bank,Banco Mercantil Santa Cruz,-16.5013696,-68.121377,
bank,Mutual La Paz,-17.7835416,-63.1797115,
bank,Banco de Crédito de Bolivia,-16.4983084,-68.1335926,La Paz
bank,Cooperativa de Ahorro y Crédito Progreso Ltda.,-18.1226269,-63.9583929,Mairana
bank,Banco Fie,-15.5846715,-67.2469257,
bank,Banco Union,-15.5843923,-67.2465651,
bank,Banco Económico,-17.7643967,-63.1476633,
bank,Banco Ganadero,-17.7715988,-63.182666,
bank,Banco prodem,-15.5848893,-67.2472223,
bank,Banco Ecofuturo,-15.5839724,-67.2475363,
bank,Banco FIE S.A.,-17.7628729,-63.163519,
bank,Banco BCP - Agencia Chiriguano,-17.790383,-63.2051862,Santa Cruz de la Sierra
bank,Banco Mercantil Santa Cruz - Agencia Chiriguano,-17.7904832,-63.2051037,Santa Cruz de la Sierra
bank,Banco Económico,-21.5316186,-64.7347354,
bank,Banco Unión,-17.7907392,-63.195397,
bank,Fassil,-17.7907776,-63.1955756,
bank,Banco FIE,-17.7811155,-63.1816744,
bank,Banco de Crédito de Bolivia,-17.7821486,-63.1815269,
bank,Banco Unión,-16.1647319,-69.0872466,
bank,Banco Unión,-10.8112057,-65.3507318,Guayaramerin
bank,Cooperativa Jesús Nazareno,-10.8101753,-65.3516965,
bank,Cooperativa Multiactiva 2 de Junio Abasto,-17.7947489,-63.2042699,
bank,Los Andes Pro Credit,-16.5012549,-68.1334217,
bank,Los Andes ProCredit,-17.7828126,-63.1815474,
