st_x,st_y,gid,nombre,distrito,uv,mz,barrio,direccion,estado,categoria,nombre_sept,nivel,point_x,point_y,geom,dependencia,estado_cuarentena,estado_c
481864.8667,8023389.2828,66,Mercado Palmira(plan 4000),12,251,,,"Unnamed Road, Santa Cruz de la Sierra",,vecinal,Mercado Palmira(plan 4000),MINORISTA,-63.1711898999,-17.8772261003,01010000007034807723691D412C651952579B5E41,GAMSCS,f,0
480735.3755,8026262.1281,67,Mercado Santa Cruz Sur,9,ET41,,,"Nuevo Palmar, Santa Cruz de la Sierra",,vecinal,Mercado Santa Cruz Sur,MINORISTA,-63.1818254999,-17.8512496004,0101000000701283807D571D4158CA3288259E5E41,GAMSCS,f,0
477975.268,8028763.0885,1,Mercado Villa Ortuño,10,118,,B. Villa Ortuño, ,Mercado Municipal,Vecinal,MERCADO VILLA ORTUÑO,MINORISTA,-63.2078498990,-17.8286180901,010100000090976E125D2C1D41E7FBA9C596A05E41,GAMSCS,f,0
483612.7917,8025197.4981,4,Mercado El Triunfo,12,173,,B. El Triunfo, ,Mercado Municipal,Vecinal,MERCADO EL TRIUNFO,MINORISTA,-63.1546759502,-17.8608959261,0101000000A067B32A73841D41D3DEE05F1B9D5E41,GAMSCS,f,0
481127.3682,8024096.8715,3,Mercado Magisterio Sur,12,185,,B. Magisterio, ,Mercado Municipal,Vecinal,MERCADO MAGISTERIO SUR,MINORISTA,-63.1781452532,-17.8708241708,0101000000C06B09799D5D1D41F0A7C637089C5E41,GAMSCS,f,0
487881.097,8028172.2632,6,Mercado Urkupiña,8,161,,B. 13 de Julio, ,Mercado Municipal,Vecinal,MERCADO URKUPIÑA,MINORISTA,-63.1143710654,-17.8340355126,0101000000D0F7536324C71D41D044D81003A05E41,GAMSCS,f,0
489357.4293,8027251.629,5,Mercado Turere,8,237,,B. El Turere, ,Mercado Municipal,Vecinal,MERCADO TURERE,MINORISTA,-63.1004429936,-17.8423645798,0101000000506B9AB735DE1D41378941E81C9F5E41,GAMSCS,f,0
483635.8166,8038387.1119,9,Mercado Los Tusequis,5,71,,B. Los Tusequis, ,Mercado Municipal,Vecinal,MERCADO LOS TUSEQUIS,MINORISTA,-63.1543560883,-17.7416779361,010100000050CA3244CF841D419E5E29C7FCA95E41,GAMSCS,f,0
483846.1437,8031928.1061,21,Mercado  Estacion Argentina,3,44,,B. Estación Argentina, ,Mercado Usufructo,Vecinal,MERCADO ESTACIÓN ARGENTINA,MINORISTA,-63.1524216386,-17.8000612769,0101000000C017269318881D41A857CA06AEA35E41,Usufructo,f,0
478520.8536,8030487.0454,24,Mercado Villa Fatima,4,51,,B. Villa Fatima,C/ Quirusillas y El Torno,Mercado Usufructo,Vecinal,MERCADO VILLA FATIMA,MINORISTA,-63.2026835563,-17.8130410857,0101000000501E166AE3341D4167D5E7C245A25E41,Usufructo,f,0
486898.2054,8030565.9738,29,Mercado Noel Kempffp,7,99,,B. Noel Kempff,Av. Radial 10,Mercado Asentamiento,Vecinal,MERCADO NOEL KEMPFF,MINORISTA,-63.1236320819,-17.8123936313,0101000000B06054D2C8B71D413CBD527E59A25E41,Asentamiento,f,0
482667.6206,8029341.7498,32,Mercado Primavera,9,114,, ,5to anillo de circunvalacion y radial 12,Mercado Asentamiento,Barrial,MERCADO PRIMAVERA,MINORISTA,-63.1635630121,-17.8234297967,010100000000917E7BAE751D4124B9FC6F27A15E41,Asentamiento,f,0
481087.1933,8033730.3623,39,Mercado Nuevo(Sucre),11,CIII,32, ,"entre C/Isabel La Catolica, C/ Sucre",Mercado Muncipal,Vecinal,MERCADO NUEVO SUCRE,MINORISTA,-63.1784377760,-17.7837490523,0101000000706FF0C5FC5C1D4157EC2F9770A55E41,GAMSCS,f,0
