id,nombre_lugar,id_distrito,fecha,geom,point_x,point_y,uv,nombre
169,MERCADO MOVILES,7,2020-04-21,010100000060610DD72FB11D41C22302A372A35E41,-63.1276092687,-17.8022262838,94,Distrito Urbano 7
170,MERCADO MOVILES,8,2020-04-21,0101000000806563E558A21D4172966A5C63A25E41,-63.1365781725,-17.8120282543,104,Distrito Urbano 8
171,MERCADO MOVILES,8,2020-04-21,010100000030D8CB7652AF1D41781700F013A25E41,-63.1287444614,-17.8149051396,146,Distrito Urbano 8
172,MERCADO MOVILES,8,2020-04-21,01010000008011803FA9A31D41288A68E167A15E41,-63.1357915820,-17.8211211190,150,Distrito Urbano 8
173,MERCADO MOVILES,9,2020-04-21,010100000070B9460BB87D1D41418EBE4FD5A05E41,-63.1587114309,-17.8264030684,114,Distrito Urbano 9
174,MERCADO MOVILES,8,2020-04-21,0101000000B06F3A89359E1D41470F54B391A05E41,-63.1390903216,-17.8288625033,150,Distrito Urbano 8
175,MERCADO MOVILES,12,2020-04-21,0101000000A64F41DB35721D415759B874F79F5E41,-63.1656696208,-17.8344184952,170,Distrito Urbano 12
176,MERCADO MOVILES,9,2020-04-21,0101000000E9CB6B75D5731D41588D1A1626A15E41,-63.1646790167,-17.8234777089,106,Distrito Urbano 9
177,MERCADO MOVILES,9,2020-04-21,0101000000449D7AEF6F671D41A2C28C1C3E9F5E41,-63.1721829588,-17.8411139947,114,Distrito Urbano 9
178,MERCADO MOVILES,12,2020-04-21,010100000020D6A0EFB27A1D4174C1F1124B9F5E41,-63.1605481522,-17.8406552488,171,Distrito Urbano 12
179,MERCADO MOVILES,9,2020-04-21,010100000000D24AE1BD581D41E72983B0CF9E5E41,-63.1810633238,-17.8450982697,ET41,Distrito Urbano 9
180,MERCADO MOVILES,12,2020-04-21,0101000000B0EEA4C573581D41418EBE9F129E5E41,-63.1812451010,-17.8519337592,176,Distrito Urbano 12
181,MERCADO MOVILES,12,2020-04-21,010100000080BB7112DD4F1D410B3004A64C9D5E41,-63.1864405615,-17.8590866572,129,Distrito Urbano 12
182,MERCADO MOVILES,9,2020-04-21,0101000000408613D8A93B1D41FD025238169E5E41,-63.1986348666,-17.8517868216,130,Distrito Urbano 9
183,MERCADO MOVILES,9,2020-04-21,0101000000505DB7C82F401D41EDAA1884329F5E41,-63.1958913755,-17.8415108853,117,Distrito Urbano 9
184,MERCADO MOVILES,10,2020-04-21,0101000000F0230300E12B1D4118322FC5D59F5E41,-63.2081507230,-17.8355957501,118A,Distrito Urbano 10
185,MERCADO MOVILES,10,2020-04-21,010100000010D475E8C5221D4168BFC6C3FB9E5E41,-63.2136600062,-17.8434717789,135,Distrito Urbano 10
186,MERCADO MOVILES,10,2020-04-21,0101000000403005AB68201D41015960F5B9A05E41,-63.2150686809,-17.8273381143,119,Distrito Urbano 10
187,MERCADO MOVILES,10,2020-04-21,0101000000007C3CB419131D41FD025280A59F5E41,-63.2231190001,-17.8373243876,137,Distrito Urbano 10
188,MERCADO MOVILES,10,2020-04-21,0101000000A0C1F227E1171D416AEA4D3241A15E41,-63.2202141225,-17.8224428544,127,Distrito Urbano 10
