Departamento,Tipo,Nombre ,Direccion,Telefono,Latitud,Longitud,Fuente
La Paz,Alimentos,Mercado movil-GAM La Paz,Rosales de Achumani,null,-16.513816,-68.052997,web
La Paz,Alimentos,Mercado movil-GAM La Paz,"Cancha zona 24 de junio ""A"", calle 24 de junio ",null,-16.480262,-68.113634,web
La Paz,Alimentos,Mercado movil-GAM La Paz,"Cosmos 85, parada Pumakatari, zona Villa Salome",null,-16.485179,-68.093155,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Zona Kupini ,null,-16.510534,-68.099247,web
La Paz,Alimentos,Mercado movil-GAM La Paz,"Av. Valle de la Luna, altura banderas",null,-16.566760,-68.093453,web
La Paz,Alimentos,Mercado movil-GAM La Paz,"Av. Tricentenario, calle 5 de la zona de Jupapina",null,-16.591730,-68.073074,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Av. Hernan Siles - Mallasa,null,-16.559257,-68.094054,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Plaza Bolivia,null,-16.507011,-68.126557,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Calle Jaimes y Mariaca,null,-16.504719,-68.117239,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Plaza Uyuni,null,-16.496938,-68.124284,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Zona Sagrado Corazon,null,-16.500530,-68.153006,web
La Paz,Alimentos,Mercado movil-GAM La Paz,"Zona Wakathaki, colegio Filadelfia",null,-16.500101,-68.161168,web
La Paz,Alimentos,Mercado movil-GAM La Paz,Ciudadela Caja Ferroviaria,null,-16.488718,-68.143275,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio Guaracal (Parque urbano),null,-17.817747,-63.173147,web
Santa Cruz,Alimentos,Mercado movil-GAM La Paz,Barrio Guarachi-Rotonda,null,-17.781787,-63.145049,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio 21 de Enero-Cancha,null,-17.776433,-63.134799,web
Santa Cruz,Alimentos,Mercado movil-GAM La Paz,Urbanización Clara Serrano,null,-17.686077,-63.070053,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio Las Misiones-Plaza del barrio,null,-17.834344,-63.193398,web
Santa Cruz,Alimentos,Mercado movil-GAM La Paz,Centro Educativo Caritas - Barrio Yabog - Barrio El Deber,null,-17.839180,-63.185724,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio España - Frente a la capilla,null,-17.775866,-63.117687,web
Santa Cruz,Alimentos,Mercado movil-GAM La Paz,"Av. Miguel de Cervantes, octavo anillo",null,-17.851037,-63.198303,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio La Colorada - Cancha 16 de noviembre,null,-17.850836,-63.194392,web
Santa Cruz,Alimentos,Mercado movil-GAM La Paz,Barrio El Trigal - Plaza del barrio,null,-17.860254,-63.213271,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Comunidad Usuri y zonas aledañas,null,-17.881180,-62.941722,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Plaza La Costanera,null,-17.757712,-63.201073,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Plaza los Mangales,null,-17.818435,-63.130803,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Sub alcaldia Distrito 1,null,-17.770796,-63.201782,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Unidad Educativa Las Porras,null,-17.796800,-63.222009,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Lagua Guapilo Barrio Junin UV 263,null,-17.780884,-63.098498,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Condominio Borguese 262-264,null,-17.781715,-63.090259,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Kerana,null,-17.769912,-63.134514,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,La Casona,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Amaranto,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Parque Acuatico,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio Taparruete 278,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Ciudad del Este UV 270,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Urbanización Punta Rena - Modulo Juancito Pinto,null,-17.842421,-63.085481,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Urbanización El Quior - Plaza Principal,null,-17.847212,-63.087970,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio 15 de Enero - Cancha 15 de enero,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio Paraiso,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Señor de los milagros Km. 9,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio Totaitu Mirador,null,-17.706295,-63.164682,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio Los Sauces,null,-17.729157,-63.144493,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio Villa Carmela,null,-17.729387,-63.175957,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio 24 de Septiembre,null,-17.750875,-63.186746,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio Bella Vista,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio 16 de Noviembre,null,-17.824594,-63.178732,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio La Esperanza,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio Los Pinos,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Barrio 15 de Octubre,null,null,null,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,"Zona de Condominio Sevilla (1 y 2, Los Bosques, Pinatar)",null,-17.688018,-63.150900,web
Santa Cruz,Alimentos,Mercado movil-GAM Santa Cruz,Fontana Rivera 1 y 2 - Valle Cartago,null,-17.690648,-63.137244,web
Oruro,Alimentos,Mercado movil-GAM Oruro,"Desde Casco del Minero hasta Urb. Aurora, Dora Halker, Cristo Salvador, Los Olivos",null,-17.927150,-67.118428,web
