Departamento,Alcance,Descripcion del alcance,Latitud,Longitud,Dirección,Tipo de proveedor,Nombre ,Tipo de servicios o productos,Servicios o productos,Dias y horarios de atención,Telefonos,A domicilio,Verificado
Cochabamba,Municipal,Sacaba,-17.404111,-66.038630,CALLE BOLIVAR 100 ESQ. COLON,Empresa,FUBODE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Cochabamba,Municipal,Sacaba,NA,NA,Calle Ingavi N. 614 esq. Calle Bolivar,Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Cochabamba,Municipal,Shinahota,NA,NA,Av. Panamericana esq. Calle Miraflores,Empresa,CACEF LTDA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Cochabamba,Municipal,Sipe Sipe,NA,NA,Plaza 30 de Abril Acera Sud,Empresa,CACEF LTDA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Cochabamba,Municipal,Tiraque,NA,NA,Plaza Principla lado oeste,Empresa,CACEF LTDA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Cochabamba,Municipal,Tiraque,NA,NA,CALLE SANTA CRUZ S ENTRE CALLES VANDIOLA Y COSTAN,Empresa,CIDRE IFD,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Cochabamba,Municipal,Totora,NA,NA,Plaza Ladislao Cabrera,Empresa,COOP.CRISTO REY,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Cochabamba,Municipal,Vacas,NA,NA,Calle Junin y Calle Aroma s.n Mercado central ace,Empresa,COOP.SAN CARLOS BORROMEO,Servicios Financieros,Transacciones bancarias,null,null,No,Si
Cochabamba,Municipal,Villa Tunari,NA,NA,Av.Integracion esq.Chuquisaca s.n Central,Empresa,COOP. SAN ANTONIO,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Achacachi,NA,NA,Plaza Mcal. Andres de Santa Cruz No.50,Empresa,BANCO FIE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Achacachi,NA,NA,Maximiiano Paredes N§ 15 esquina Yanacocha,Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Apolo,NA,NA,"PLAZA BOLIVAR, ACERA NORTE",Empresa,BANCO ECOFUTURO,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Arapata Nor Yungas,NA,NA,Avenida 30 de Agosto SN,Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Batallas,NA,NA,Plaza Rene Barrientos S/N,Empresa,BANCO FIE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Batallas,NA,NA,PLAZA PRINCIPAL DE LA LOCALIDAD DE BATALLAS,Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Cairoma,NA,NA,Plaza 16 de Julio S.N.,Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Caranavi,NA,NA,Av. Mariscal Santa Cruz s entre Litoral y Kilómet,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Caranavi,NA,NA,Av. Mcal. Santa Cruz entre c. Batallon de ing.,Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Chulumani,NA,NA,"Plaza Martin Villalobos, esq. Gral Pando",Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Copacabana,-16.165757,-69.086505,Av. 6 de Agosto s.n. entre Calles Oruro y Pando,Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Coripata,-16.313777,-67.606427,Saturnino Guerra s lado Plaza 16 de Julio,Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Coroico,-16.188595,-67.727108,"C. Julio Suazo s.n, Plaza Principal",Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Coroico,NA,NA,C. Tomas Monje esq. pje. Adalid Linares,Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,C. 3 No. 1304-CEJA,Empresa,BANCO ECOFUTURO,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,-16.507681,-68.162976,AV. JORGE CARRASCO No.61,Empresa,BANCO FASSIL,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,Calle Jorge Carrasco No. 63 Zona 12 de Octubre,Empresa,BANCO FIE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,-16.534346,-68.190648,Av. Bolivia No. 1101 (cruce Villa Adela),Empresa,BANCO FIE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,-16.490178,-68.207141,Av. Juan Pablo II No.60 (ex tranca Rio Seco),Empresa,BANCO FIE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,Av. Aconcagua No. 8394,Empresa,BANCO FIE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,Av. 6 de marzo Nro 41,Empresa,BANCO FORTALEZA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,-16.535287,-68.190927,Av. Ladislao Cabrera No.15,Empresa,BANCO FORTALEZA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,-16.507522,-68.164169,Av. 6 de marzo Nro 41,Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,Avenida Juan Pablo II Nø 2885 casi esq. Banzer,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,-16.535136,-68.190794,"Calle Ladislao Cabrera N§ 1017, cruce Villa Adela",Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,Calle 1 Nø 1 entre Calle Franco Valle y Avenida J,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,-16.489938,-68.172326,AV. ALFONSO UGARTE No. 1230,Empresa,COOP. LA SAGRADA FAMILIA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,Plan 405 Calle 17 Nro 984,Empresa,CRECER IFD,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,-16.500180,-68.173633,Av. Juan Pablo II Nro. 125 esq. Jorge Eulert,Empresa,DIACONIA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,-16.500180,-68.173633,Av. Franco Valle Nro. 900,Empresa,DIACONIA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,"Av. Juan Pablo II Nro 60,Zona Rio Seco(Ex-Tranca)",Empresa,DIACONIA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,Carretera Viacha Nro 11,Empresa,DIACONIA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,"Z. Tejada Rectangular entre Av. C¡vica,C.9, N.50",Empresa,FUBODE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,Av. Alfonso Ugarte,Empresa,HOSPICIO,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,AV. 6 DE MARZO. ESQ. CALLE 3 N§. 100. 1er PISO.,Empresa,IDEPRO,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,"Av. Raul Salmon No.24, Zona 12 de Octubre",Empresa,LA PRIMERA EFV,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,"Av. Santiago de Machaca No. 1005, esq. Av. Muro P",Empresa,PRO-MUJER,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,AV. JUAN PABLO II CALLE 1 Nº 8 FRENTE A IDENTIFIC,Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,CAMINO A VIACHA ESQ AV BOLIVIA N°13,Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,"AV.FRANCO VALLE NRO 11 ENTRE C 5 Y 6, ZONA 12 DE",Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,El Alto,NA,NA,Av. 6 de Agosto N. 2125,Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,Irupana,NA,NA,Plaza Victorio Lanza s Zona Central,Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
