type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/codigoSIE,properties/ue1,properties/ue2,properties/ue3,properties/ue4,properties/ue5,properties/Nombre,properties/Direccion,properties/CodMacro,properties/CodDistrito,properties/Zona,properties/IdTipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,educacionpublica.168,Point,-68.10205342,-16.50530935,geom,80730085,Delia Gambarte Quezada B,Delia Gambarte Quezada A,,,,DELIA GAMBARTE QUEZADA  B,C. 3,2,16,PAMPAHASI BAJO,,16,,clara.revollo,2016-06-11T21:46:27.400Z,
Feature,educacionpublica.169,Point,-68.05706477,-16.51333866,geom,80730263,Achumani,Achumani B,,,,ACHUMANI,Av. Las Madres,5,18,ACHUMANI,,18,,clara.revollo,2016-06-11T21:46:56.230Z,
Feature,educacionpublica.170,Point,-68.13415563,-16.49112144,geom,80730066,Luis Alberto Pabón C - CEA,Luis Alberto Pabón A,Luis Alberto Pabón B,,,CEA LUIS ALBERTO PABON C,C. Pichincha Esq. Calama,4,11,NORTE,5,11,,clara.revollo,2016-06-11T21:47:44.880Z,
Feature,educacionpublica.171,Point,-68.14120268,-16.49000896,geom,80730053,Colorados de Bolivia - CEA,Eduardo Idiaquez,República Federativa del Brasil,,,CEA COLORADOS DE BOLIVIA,Av. Ismael Montes,4,11,CENTRAL,5,11,,clara.revollo,2016-06-11T21:49:16.280Z,
Feature,educacionpublica.172,Point,-68.08992584,-16.52172504,geom,80730100,FF.AA De La Nación A,FF.AA De La Nación B,,,,FF.AA DE LA NACION A,Av. Samuel Alcoreza,5,18,BOLOGNIA,,21,,clara.revollo,2016-06-11T21:50:42.653Z,
Feature,educacionpublica.173,Point,-68.12127958,-16.47561974,geom,80730076,Hernando Siles I,Simón Rodriguez Carredo A,,,,HERNANDO SILES I,C. Virgen de la Concepción,4,13,VILLA FATIMA,,13,,clara.revollo,2016-06-11T21:54:11.980Z,
Feature,educacionpublica.174,Point,-68.12122022,-16.47584471,geom,807300761,Hernando Siles - CEA,Hernando Siles Reyes,Rene Zamora,Simón Rodriguez Carredo B,Simón Rodriguez Carredo C,CEA HERNANDO SILES,C. Abel Antezana,4,13,VILLA FATIMA,5,13,,clara.revollo,2016-06-11T21:56:32.803Z,
Feature,educacionpublica.175,Point,-68.14092329,-16.49017498,geom,80730054,Lia Chopitea de Rodriguez,Oscar Alfaro,,,,LIA CHOPITEA DE RODRIGUEZ,Av. Montes Esq. Batallon Illimani,4,11,CENTRO,,11,,clara.revollo,2016-06-11T21:57:52.953Z,
Feature,educacionpublica.176,Point,-68.13514689,-16.49384231,geom,80730122,Juan Federico Zuazo,Juana Azurduy,Las Américas,,,JUAN FEDERICO ZUAZO,C. Genaro Sanjinez,1,1,CENTRAL,,1,,clara.revollo,2016-06-11T21:59:56Z,
Feature,educacionpublica.177,Point,-68.10970903,-16.50877734,geom,80730341,René Barrientos Ortuño,VILLA ARMONIA,Waldo Ballivián,,,RENEE BARRIENTOS ORTU,Av. Las Nieves,2,17,VILLA ARMONIA,,17,,clara.revollo,2016-07-01T21:36:38.027Z,
Feature,educacionpublica.178,Point,-68.11867645,-16.49911234,geom,80730126,Adhemar Gehain,Naciones Unidas,,,,ADHEMAR GEHAIN,Av. Brasil,1,2,MIRAFLORES,,2,,clara.revollo,2016-06-11T22:01:14.163Z,
Feature,educacionpublica.179,Point,-68.10919272,-16.49207808,geom,80730089,Caracas A,Caracas B, Benito Juares - CEA ,,,CARACAS A,C. 9,2,15,ESCOBAR URÍA,5,15,,clara.revollo,2016-06-11T22:02:13.310Z,
Feature,educacionpublica.180,Point,-68.14389766,-16.49428685,geom,80730032,16 de Julio, Nuestra Señora de La Paz - CEA ,Esteban Arce,,,16 DE JULIO,Av. Buenos Aires,1,1,SAN SEBASTIÁN,5,1,,clara.revollo,2016-06-11T22:03:23.727Z,
