type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Direccion,properties/Ruta
Feature,paradaspumakatari.335,Point,-68.12827262,-16.50090161,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.336,Point,-68.13015872,-16.5007619,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.337,Point,-68.1284772,-16.50368733,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.338,Point,-68.12845739,-16.50414501,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.339,Point,-68.12705837,-16.50462611,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.340,Point,-68.12784605,-16.50465193,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.341,Point,-68.12749367,-16.50466384,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.342,Point,-68.13169255,-16.50257777,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.343,Point,-68.13266933,-16.50116528,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.344,Point,-68.13204414,-16.50029429,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.345,Point,-68.13805288,-16.49208027,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.346,Point,-68.13868816,-16.49325734,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.347,Point,-68.13856592,-16.49305524,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.348,Point,-68.14236871,-16.49268115,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.349,Point,-68.14400992,-16.49129442,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.350,Point,-68.14184285,-16.49285675,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.351,Point,-68.14395036,-16.49129087,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.352,Point,-68.14431004,-16.488325,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.353,Point,-68.14521562,-16.48774691,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.354,Point,-68.14532889,-16.48767834,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.355,Point,-68.14343958,-16.48808379,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.356,Point,-68.14256959,-16.48775638,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.357,Point,-68.14149351,-16.48639477,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.358,Point,-68.14319928,-16.48560123,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.359,Point,-68.14526584,-16.48445306,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.360,Point,-68.14474488,-16.4836244,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.361,Point,-68.14331835,-16.48410135,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.362,Point,-68.14303183,-16.48401586,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.363,Point,-68.14124098,-16.48520236,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.364,Point,-68.14081261,-16.48561561,Shape, ,RUTA INTEGRADORA
