type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Administracion,properties/IdTipo,properties/Tipo,properties/Macrodistrito,properties/CodDistrito,properties/IdCategoria,properties/Categoria,properties/Zona,properties/Codigo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,camposdeportivos.269,Point,-68.08082235,-16.57956131,geom,Cancha de Beisbol y Softbol Mallasa,0,NADIE,4,BEISBOL,MALLASA,20,3,C,MALLSA,118,20,,gustavo.nao,2018-09-12T20:15:44.017Z,
Feature,camposdeportivos.270,Point,-68.09474355,-16.55449668,geom,Circuito de Bicicross,0,GAMLP,4,BEISBOL,MALLASA,20,3,C,MALLASA,119,20,,gustavo.nao,2018-09-12T20:15:40.920Z,
Feature,camposdeportivos.271,Point,-68.14367382,-16.44851307,geom,Las Nieves Anexo Salome,C. Mario Mercado,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,PERIFERICA,11,3,C,LAS NIEVES ANEXO SALOME,192,11,,gustavo.nao,2018-09-12T20:13:57.417Z,
Feature,camposdeportivos.272,Point,-68.12030112,-16.4620002,geom,Cancha Tijini,C. C,JUNTA VECINAL - SIN REGULACION,10,FUTBOL SALA,PERIFERICA,11,3,C,TIJINI,231,13,,gustavo.nao,2018-09-12T20:13:34.177Z,
Feature,camposdeportivos.273,Point,-68.14969465,-16.47076678,geom,Polifuncional Kamirpata,C. Kamirpata,JUNTA VECINAL - SIN REGULACION,14,FUTBOL,PERIFERICA,11,3,C,KAMIRPATA,246,11,,nhuanquiri,2016-07-02T22:12:57.843Z,
Feature,camposdeportivos.274,Point,-68.14260358,-16.445609,geom,Cristo Rey,C. Luis Zuazo,JUNTA VECINAL - SIN REGULACION,8,FUTBOL,PERIFERICA,11,3,C,CRISTO REY,247,11,,nhuanquiri,2016-07-02T22:30:50.700Z,
Feature,camposdeportivos.275,Point,-68.14295538,-16.44552691,geom,Cristo Rey,C. Luis Zuazo,JUNTA VECINAL - SIN REGULACION,1,BASQUET,PERIFERICA,11,3,C,CRISTO REY,256,11,,nhuanquiri,2016-07-02T22:30:40.920Z,
Feature,camposdeportivos.276,Point,-68.06864785,-16.52566633,geom,Aldeas Infantiles sos,Av. Costanera,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,SUR,18,3,C,ACHUMANI SAN RAMON,311,18,,gustavo.nao,2018-09-12T20:11:56.710Z,
Feature,camposdeportivos.277,Point,-68.04648034,-16.53171107,geom,Keseni,Av. Julio Memorial,JUNTA VECINAL - CON REGULACION,14,POLIFUNCIONAL,SUR,19,3,C,SANTA FE DE KESENI,354,19,,gustavo.nao,2018-09-12T20:11:38.293Z,
Feature,camposdeportivos.278,Point,-68.07784771,-16.53486601,geom,De la Juventud,Av. Carlos Montenegro,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,SUR,18,3,C,ACHUMANI CENTRAL,314,18,,gustavo.nao,2018-09-12T20:09:45.170Z,
Feature,camposdeportivos.279,Point,-68.08361801,-16.51600536,geom,Virgen de las Nieves,Av. Circunvalación,JUNTA VECINAL - SIN REGULACION,8,FUTBOL,SUR,18,3,C,VIRGEN DE LAS NIEVES,365,18,,gustavo.nao,2018-09-12T20:09:40.050Z,
Feature,camposdeportivos.280,Point,-68.05104776,-16.53495467,geom,Cokeni,Av. Peatonal,LIGA DEPORTIVA - SN REGULACION,14,POLIFUNCIONAL,SUR,19,3,C,COKENI,327,19,,gustavo.nao,2018-09-12T20:09:34.930Z,
Feature,camposdeportivos.281,Point,-68.14589026,-16.44967372,geom,Villa las Nieves,Av. Chacaltaya,JUNTA VECINAL - SIN REGULACION,8,FUTBOL,PERIFERICA,11,4,D,VILLA DE LAS NIEVES,248,11,,gustavo.nao,2018-09-12T20:08:51.833Z,
Feature,camposdeportivos.282,Point,-68.09841727,-16.54237813,geom,Rio Remedio,Av. Litoral,JUNTA VECINAL - SIN REGULACION,8,FUTBOL,SUR,21,3,C,BAJO SEGUENCOMA,374,21,,gustavo.nao,2018-09-12T20:08:43.267Z,
Feature,camposdeportivos.283,Point,-68.09275296,-16.53920225,geom,La Ventilla,Av. Mecapaca,JUNTA VECINAL - SIN REGULACION,12,MINI FUTBOL,SUR,21,3,C,LA VENTILLA,355,21,,gustavo.nao,2018-09-12T20:01:46.253Z,
Feature,camposdeportivos.284,Point,-68.09296097,-16.54666617,geom,Las Cholas,Av. Ibsen Peña ,DIRECCION DE DEPORTES,10,FUTBOL SALA,SUR,19,3,C,LA FLORIDA,356,18,,juan.alba,2016-06-07T02:33:43.423Z,
Feature,camposdeportivos.285,Point,-68.09264989,-16.54808449,geom,Las Cholas,Av. Ibsen Peña ,DIRECCION DE DEPORTES,10,FUTBOL SALA,SUR,19,3,C,LA FLORIDA,357,18,,juan.alba,2016-06-07T02:34:12.147Z,
Feature,camposdeportivos.286,Point,-68.09260473,-16.54825458,geom,Las Cholas,Av. Ibsen Peña ,DIRECCION DE DEPORTES,10,FUTBOL SALA,SUR,19,3,C,LA FLORIDA,358,18,,juan.alba,2016-06-07T02:34:32.690Z,
Feature,camposdeportivos.287,Point,-68.09255805,-16.54843065,geom,Las Cholas,Av. Ibsen Peña ,DIRECCION DE DEPORTES,10,FUTBOL SALA,SUR,19,3,C,LA FLORIDA,359,18,,juan.alba,2016-06-07T02:34:50.037Z,
