type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoVarchar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,supermercados.11,Point,-68.10340087,-16.52851469,geom,Hipermaxi S.A.,Av. 14 de Septiembre # 6020,Obrajes,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),SUR,DISTRITO 21,21,,gustavo.nao,2017-10-04T18:43:48.043Z,,
Feature,supermercados.12,Point,-68.08388494,-16.53934517,geom,Ketal S.A.,Av. Ballivián # 7967,calacoto,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),SUR,DISTRITO 19,18,,gustavo.nao,2016-06-13T23:16:59.300Z,,
Feature,supermercados.13,Point,-68.10705941,-16.52659001,geom,Súper 10,Av. H. Siles # 455 Esq. C. 10,Obrajes,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),SUR,DISTRITO 21,21,,gustavo.nao,2016-06-06T20:13:03.240Z,,
Feature,supermercados.14,,,,geom,Nova Shop Inversiones S.R.L.,C. Sánchez Lima # 2398,SOPOCACHI,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),COTAHUMA,DISTRITO 3,,,,,,
Feature,supermercados.15,Point,-68.13592972,-16.5017601,geom,Ketal S.A.,C. Almirante Grau # 349,SAN PEDRO,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),COTAHUMA,DISTRITO 6,6,,nhuanquiri,2016-06-03T00:40:04.153Z,,
Feature,supermercados.16,Point,-68.10201369,-16.52891707,geom,Ketal S.A.,C. 16 # 460,Obrajes,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),SUR,DISTRITO 21,21,,gustavo.nao,2016-06-06T20:21:39.070Z,,
Feature,supermercados.17,Point,-68.07801838,-16.5403161,geom,Ketal S.A.,C. 21,Calacoto,Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,SUR,DISTRITO 19,18,,gustavo.nao,2016-06-06T20:24:26.203Z,,
Feature,supermercados.18,,,,geom,Ketal S.A.,C. 19 Esq. Av. Max Fernández # 16,BAJO LLOJETA,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),COTAHUMA,DISTRITO 4,0,,nhuanquiri,2016-06-22T16:07:00.673Z,"No atiende, es solo la panaderia central y almacenes",
Feature,supermercados.19,,,,geom,Venta por Mayor de Variedad de Productos,C. Capitán Víctor Ustáriz # 1489,VILLA PABON (PERIFERICA),Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,PERIFERICA,DISTRITO 11,,,,,,
Feature,supermercados.20,,,,geom,Súper Mercado,Av. Ballivián # 7991,CALACOTO,Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,SUR,DISTRITO 19,,,,,,
Feature,supermercados.21,Point,-68.12790413,-16.51050963,geom,Fidalga,Av. Sánchez Lima # 2362,Sopocachi,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),COTAHUMA,DISTRITO 3,3,,gustavo.nao,2016-06-06T20:38:31.470Z,,
Feature,supermercados.22,,,,geom,Venta de Productos,C. 23 # 7676,CALACOTO,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),SUR,DISTRITO 19,,,,,,
Feature,supermercados.23,Point,-68.1224613,-16.50190275,geom,Fidalga,Av. Saavedra # 1963,Miraflores,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),CENTRO,DISTRITO 2,2,,gustavo.nao,2016-06-06T20:49:21.757Z,,
Feature,supermercados.24,Point,-68.12418954,-16.50776135,geom,Fidalga,C. Capitán Ravel # 2441,Sopocachi Bajo,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),CENTRO,DISTRITO 1,1,,gustavo.nao,2016-06-13T23:17:20.600Z,,
Feature,supermercados.25,Point,-68.13909443,-16.49341025,geom,La Salvadora Hermanos S.R.L.,Pza. Alonso de Mendoza # 569,SAN SEBASTIAN,Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,CENTRO,DISTRITO 1,1,,nhuanquiri,2016-06-22T16:08:23.057Z,"No es supermercado, vende vajillas, globos, menaje del hogar.",
Feature,supermercados.26,Point,-68.14317555,-16.49622518,geom,La Salvadora Hermanos S.R.L.,Psj Adolfo Ortega # 670,14 de Septiembre,Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,MAX PAREDES,DISTRITO 7,7,,gustavo.nao,2016-06-06T21:03:13.557Z,,
Feature,supermercados.27,,,,geom,Zhonghua,C. Matías Terrazas # 17,VILLA FATIMA,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),PERIFERICA,DISTRITO 13,,,,,,
Feature,supermercados.28,Point,-68.12007137,-16.47779073,geom,De la China,Av. Las Américas # 343,Villa Fatima,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),PERIFERICA,DISTRITO 13,13,,gustavo.nao,2016-06-06T21:09:44.033Z,,
Feature,supermercados.29,Point,-68.07255631,-16.53119431,geom,Andy´s,Av. Garcia Lanza #4,ACHUMANI,,,,,18,clara.revollo,gustavo.nao,2017-10-04T19:00:28.047Z,,
Feature,supermercados.30,Point,-68.10070391,-16.5298352,geom,Andy´s,C. 17,OBRAJES,,,,,21,clara.revollo,clara.revollo,2016-07-25T23:18:29.910Z,,
Feature,supermercados.31,Point,-68.13248614,-16.49668647,geom,Fidalga,C. Colón # 570,CENTRAL,,,,,1,gustavo.nao,gustavo.nao,2019-07-26T15:27:25.450Z,ZZZ,
