type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/OBJECTID_1,properties/OBJECTID,properties/LAYER,properties/Nombre,properties/Direccion,properties/Zona,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,edificios.1355,Point,-68.11944603,-16.49676147,geom,4338,12060,EDIFICIOS,Edificio Rio de Janeiro,,,2,,,,,
Feature,edificios.1356,Point,-68.07172556,-16.53539343,geom,4339,12061,EDIFICIOS,Edificio Rio Mamoré,,,18,,carlos.medrano,2016-07-26T00:23:10.013Z,,
Feature,edificios.1357,Point,-68.11932846,-16.50123246,geom,4340,12062,EDIFICIOS,Edificio Rio Pirai,,,2,,,,,
Feature,edificios.1358,Point,-68.07694642,-16.54340369,geom,4341,12063,EDIFICIOS,Edificio Rios,,,18,,,,,
Feature,edificios.1359,Point,-68.12474759,-16.49799169,geom,4342,12064,EDIFICIOS,Edificio Romulo y Remo,,,2,,,,,
Feature,edificios.1360,Point,-68.06672814,-16.54454205,geom,4343,12065,EDIFICIOS,Edificio Rosales,,,18,,,,,
Feature,edificios.1361,Point,-68.13218979,-16.49788565,geom,4344,12066,EDIFICIOS,Edificio Rosario,,,1,,,,,
Feature,edificios.1362,Point,-68.1238096,-16.48579826,geom,4345,12067,EDIFICIOS,Edificio Rosedal,,,2,,,,,
Feature,edificios.1363,Point,-68.08897595,-16.53923482,geom,4346,12068,EDIFICIOS,Edificio Rosser Sur,,,18,,,,,
Feature,edificios.1364,Point,-68.13566132,-16.50919688,geom,4347,12069,EDIFICIOS,Edificio Rossy,,,3,,,,,
Feature,edificios.1365,Point,-68.10663459,-16.52195069,geom,4348,12070,EDIFICIOS,Edificio Rouma,,,21,,,,,
Feature,edificios.1369,Point,-68.06290651,-16.51454278,geom,4352,12074,EDIFICIOS,Edificio Sagle,,,18,,,,,
Feature,edificios.1370,Point,-68.12237757,-16.49469291,geom,4353,12075,EDIFICIOS,Edificio Salvador,,,2,,,,,
Feature,edificios.1371,Point,-68.13755957,-16.49585433,geom,4354,12076,EDIFICIOS,Edificio San Francisco,,,1,,,,,
Feature,edificios.1372,Point,-68.11938975,-16.51438041,geom,4355,12078,EDIFICIOS,Edificio San Jorge,,,1,,,,,
Feature,edificios.1373,Point,-68.11760377,-16.50052599,geom,4356,12079,EDIFICIOS,Edificio San Lucas,,,2,,,,,
Feature,edificios.1374,Point,-68.08828062,-16.5159382,geom,4357,12080,EDIFICIOS,Edificio San Marcos,,,18,,,,,
Feature,edificios.1375,Point,-68.12110673,-16.5032049,geom,4358,12081,EDIFICIOS,Edificio San Martin,,,2,,,,,
Feature,edificios.1376,Point,-68.11903955,-16.49696109,geom,4359,12082,EDIFICIOS,Edificio San Martin de Porres,,,2,,,,,
Feature,edificios.1377,Point,-68.12412913,-16.49501858,geom,4360,12083,EDIFICIOS,Edificio San Salvador,,,2,,,,,
Feature,edificios.1378,Point,-68.13409949,-16.51193452,geom,4361,12084,EDIFICIOS,Edificio Sanjines,,,3,,,,,
Feature,edificios.1379,Point,-68.13883446,-16.49374084,geom,4362,12085,EDIFICIOS,Edificio Santa Anita,,,1,,,,,
Feature,edificios.1380,Point,-68.12673338,-16.49934802,geom,4363,12086,EDIFICIOS,Edificio Santa Barbara,,,1,,,,,
Feature,edificios.1381,Point,-68.11774645,-16.50265852,geom,4364,12087,EDIFICIOS,Edificio Santa Lucia,,,2,,,,,
Feature,edificios.1382,Point,-68.12481952,-16.49990162,geom,4365,12088,EDIFICIOS,Edificio Santander,,,2,,,,,
Feature,edificios.1383,Point,-68.14115144,-16.50767699,geom,4366,12089,EDIFICIOS,Edificio Santiago,,,4,,,,,
Feature,edificios.1384,Point,-68.08121489,-16.53901188,geom,4367,12090,EDIFICIOS,Edificio Segal,,,18,,,,,
Feature,edificios.1386,Point,-68.12301593,-16.49432102,geom,4369,12092,EDIFICIOS,Edificio Sophios,,,2,,,,,
Feature,edificios.1387,Point,-68.06158611,-16.51752928,geom,4370,12093,EDIFICIOS,Edificio Spoleto,,,18,,,,,
Feature,edificios.1388,Point,-68.13371235,-16.49895974,geom,4371,628,EDIFICIOS,Edificio Stefan,,,1,,,,,
Feature,edificios.1389,Point,-68.08093363,-16.53815361,geom,4372,12094,EDIFICIOS,Edificio Suma,,,18,,,,,
Feature,edificios.1390,Point,-68.07599026,-16.54009605,geom,4373,12095,EDIFICIOS,Edificio Sur,,,18,,,,,
Feature,edificios.1391,Point,-68.09075706,-16.54124613,geom,4374,12096,EDIFICIOS,Edificio Temesis,,,18,,,,,
Feature,edificios.1392,Point,-68.12198599,-16.49410011,geom,4375,12098,EDIFICIOS,Edificio Texas,,,2,,,,,
Feature,edificios.1393,Point,-68.1220041,-16.49401469,geom,4376,12099,EDIFICIOS,Edificio Texas 2,,,2,,,,,
Feature,edificios.1394,Point,-68.13335901,-16.49717899,geom,4377,12100,EDIFICIOS,Edificio Tobia,,,1,,,,,
Feature,edificios.1395,Point,-68.08602083,-16.52237881,geom,4378,12101,EDIFICIOS,Edificio Tobia,,,18,,,,,
Feature,edificios.1396,Point,-68.08629357,-16.53941835,geom,4379,12102,EDIFICIOS,Edificio Torre Cinal,,,18,,,,,
Feature,edificios.1397,Point,-68.07765889,-16.53761945,geom,4380,12103,EDIFICIOS,Edificio Torre Alfa,,,18,,,,,
Feature,edificios.1398,Point,-68.08619907,-16.53995146,geom,4381,12104,EDIFICIOS,Edificio Torre Lucia,,,18,,,,,
Feature,edificios.1399,Point,-68.10714727,-16.52692911,geom,4382,12105,EDIFICIOS,Edificio Torre Obrajes,,,21,,,,,
Feature,edificios.1400,Point,-68.07306336,-16.54007831,geom,4383,12108,EDIFICIOS,Edificio Torres IV,,,18,,,,,
Feature,edificios.1401,Point,-68.12577161,-16.4893048,geom,4384,12109,EDIFICIOS,Edificio Torrico,,,12,,,,,
Feature,edificios.1402,Point,-68.10347124,-16.52899099,geom,4385,12110,EDIFICIOS,Edificio Tulipanes,,,21,,,,,
Feature,edificios.1403,Point,-68.12055931,-16.48673912,geom,4386,12111,EDIFICIOS,Edificio Tupiza,,,2,,,,,
Feature,edificios.1404,Point,-68.13317821,-16.49869374,geom,4387,631,EDIFICIOS,Edificio De Ugarte Ingeniería,,,1,,carlos.medrano,2016-07-26T00:21:58.133Z,,
Feature,edificios.1405,Point,-68.07897404,-16.53792214,geom,4388,12112,EDIFICIOS,Edificio Unión,,,18,,carlos.medrano,2016-07-26T00:19:28.410Z,,
Feature,edificios.1406,Point,-68.12251259,-16.49516552,geom,4389,12113,EDIFICIOS,Edificio Urus,,,2,,,,,
Feature,edificios.1407,Point,-68.12441471,-16.49662592,geom,4390,12114,EDIFICIOS,Edificio Uyuni,,,2,,,,,
Feature,edificios.1408,Point,-68.14155315,-16.4991719,geom,4391,12115,EDIFICIOS,Edificio Varela,,,7,,,,,
Feature,edificios.1409,Point,-68.14783076,-16.49752602,geom,4392,12116,EDIFICIOS,Edificio Venesia,,,7,,,,,
Feature,edificios.1410,Point,-68.10947833,-16.52639883,geom,4393,12117,EDIFICIOS,Edificio Vera,,,21,,,,,
