type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/CodMacro,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,properties/IdTipo,properties/Nombreback
Feature,educacionprivada.43,Point,-68.11738814,-16.47440145,geom,Ave María,Av. Las Americas,VILLA FATIMA,3,,13,,clara.revollo,2016-06-22T13:07:46.543Z,,4,Colegio Ave María
Feature,educacionprivada.44,Point,-68.13214273,-16.4932703,geom,American School,C. Batalla Junín,AGUA DE LA VIDA,3,,11,,clara.revollo,2016-06-13T13:25:57.370Z,,4,Colegio American School
Feature,educacionprivada.45,Point,-68.13525691,-16.48944983,geom,Samapa,C. Pisagua,ZONA NORTE,3,,11,,clara.revollo,2016-06-13T13:31:57.830Z,,12,Unidad Educativa Samapa
Feature,educacionprivada.46,Point,-68.13369672,-16.49255355,geom,Jean Pool,C. Genaro Sanjines,ZONA NORTE,3,,11,,clara.revollo,2016-06-13T13:40:02.067Z,,12,Unidad Educativa Jean Pool
Feature,educacionprivada.47,Point,-68.12075981,-16.47901296,geom,Libano,Av. Las Américas,VILLA FATIMA,3,,13,,clara.revollo,2016-06-13T13:42:29.397Z,,9,Instituto Libano
Feature,educacionprivada.48,Point,-68.12116188,-16.48337155,geom,Jesús,Av. Gualberto Villarroel,MIRAFLORES,3,,13,,clara.revollo,2016-06-13T13:45:09.727Z,,8,Guardería Jesús
Feature,educacionprivada.51,Point,-68.11509327,-16.4773627,geom,Petrolero,C. 3,BARRIO PETROLERO,3,,13,,clara.revollo,2016-06-22T13:08:04.997Z,,4,Colegio Petrolero
Feature,educacionprivada.54,Point,-68.14300955,-16.48581556,geom,Educativo Boliviano Holandes,Av. Chacaltaya,VINO TINTO,3,,11,,clara.revollo,2016-06-13T13:26:52.530Z,,3, Educativo Boliviano Holandes
Feature,educacionprivada.55,Point,-68.1185262,-16.47425958,geom,Ave María,Av. Las Americas,VILLA FATIMA,3,,13,,clara.revollo,2016-06-06T20:09:53.783Z,,4,Colegio Ave María
Feature,educacionprivada.56,Point,-68.09268402,-16.45183189,geom,Kalajahuira,Av. Ramiro Castillo,BALLIVIAN,3,,13,,clara.revollo,2016-06-13T13:29:00.780Z,,5,Escuela Kalajahuira
Feature,educacionprivada.57,Point,-68.13214553,-16.46874192,geom,J. Monje Zapata,C. Calvario,CALVARIO,3,,12,,nhuanquiri,2016-07-01T21:15:34.857Z,,5,Escuela J. Monje Zapata
