type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/tipo_ofi,properties/Direccion
Feature,entidadesfinancieras.281,Point,-68.15335561,-16.494533,geom,Fondo Financiero Privado Prodem S.A.,Agencia Fija,CALLE BUSTILLOS NÂº713 (ZONA EL TEJAR)
Feature,entidadesfinancieras.282,Point,-68.07522675,-16.53405145,geom,BANCO FORTALEZA S.A.,Agencia Fija,"Avenida Garcia Lanza No. 15 entre calles 11 y 12 achumani, zona sur."
Feature,entidadesfinancieras.283,Point,-68.12140887,-16.4810626,geom,BANCO FORTALEZA S.A.,Agencia Fija,"Av. Las Américas No. 353, Zona Villa Fatima"
Feature,entidadesfinancieras.284,Point,-68.12063269,-16.51297397,geom,BANCO FORTALEZA S.A.,Oficina Central,"Av. Arce No. 2799 esq. calle Cordero, Zona San Jorge"
Feature,entidadesfinancieras.285,Point,-68.13381969,-16.50084117,geom,BANCO FORTALEZA S.A.,Sucursal,"Av. 16 de Julio No. 1440, Zona Central"
Feature,entidadesfinancieras.286,Point,-68.12063269,-16.51297397,geom,BANCO FORTALEZA S.A.,Agencia Fija,"Av. Arce No. 2799 esq. calle Cordero, Zona San Jorge"
Feature,entidadesfinancieras.287,Point,-68.14512222,-16.49562778,geom,BANCO FORTALEZA S.A.,Agencia Fija,"Av. Tumusla No. 765, entre Av. Buenos Aires y Plaza Garita de Lima, Zona 14 de Septiembre"
Feature,entidadesfinancieras.288,Point,-68.13205751,-16.4959891,geom,BANCO FORTALEZA S.A.,Agencia Fija,"Calle Colón No. 610 casi esq. Ballivián, Zona Central"
Feature,entidadesfinancieras.289,Point,-68.07662319,-16.5464213,geom,BANCO FORTALEZA S.A.,Agencia Fija,"Calle 21 s/n esq. Av. Costanera, Zona Sur"
Feature,entidadesfinancieras.290,Point,-68.08557898,-16.57021638,geom,BANCO FORTALEZA S.A.,Agencia Fija,"Av. Florida No. 190 entre calles 6 y 7, Zona Mallasa"
Feature,entidadesfinancieras.291,Point,-68.13420001,-16.4987448,geom,Fondo Financiero Privado Prodem S.A.,Cajero Automático,Av. CAMACHO ESQ. CALLE COLON # 1277
Feature,entidadesfinancieras.292,Point,-68.12760706,-16.51085997,geom,Fondo Financiero Privado Prodem S.A.,Cajero Automático,CALLE BELISARIO SALINAS # 520
Feature,entidadesfinancieras.293,Point,-68.14135902,-16.48848663,geom,Fondo Financiero Privado Prodem S.A.,Cajero Automático,"TERMINAL DE BUSES LA PAZ
AV. URUGUAY ESQ. AV. PERU"
Feature,entidadesfinancieras.294,Point,-68.12363889,-16.51285278,geom,Fondo Financiero Privado Prodem S.A.,Cajero Automático,"AV. 20 DE OCTUBRE # 2665 ESQ. CAMPOS. 
EDIFICIO TORRE AZUL
SEGUNDO PISO"
Feature,entidadesfinancieras.295,Point,-68.13575833,-16.49663889,geom,Mutual La Paz,Cajero Automático,"C. YANACOCHA NO. 319, EDIFICIO ASBUN ANTIGUO"
Feature,entidadesfinancieras.296,Point,-68.08723333,-16.53188333,geom,Mutual La Primera,Cajero Automático,MEGACENTER PLAYON DE IRPAVI
Feature,entidadesfinancieras.297,Point,-68.12010833,-16.47861667,geom,Mutual La Paz,Cajero Automático,CALLE OCOBAYA ESQ. YANACACHI
Feature,entidadesfinancieras.298,Point,-68.11640794,-16.49585133,geom,Mutual La Paz,Cajero Automático,AVENIDA ESTEBAN ARCE NÂº 1828 CRUCE VILLA SAN ANTONIO Y VILLA COPACABANA
Feature,entidadesfinancieras.299,Point,-68.10630948,-16.52734067,geom,Mutual La Paz,Cajero Automático,AV. HERNANDO SILES ESQ. CALLE 11 EDIF. EL PARQUE
Feature,entidadesfinancieras.300,Point,-68.13977614,-16.4966733,geom,Mutual La Paz,Cajero Automático,CALLE ILLAMPU
Feature,entidadesfinancieras.301,Point,-68.13268736,-16.50123564,geom,Mutual La Paz,Cajero Automático,AV. 16 DE JULIO No. 1521
Feature,entidadesfinancieras.302,Point,-68.12382835,-16.50031062,geom,Mutual La Paz,Cajero Automático,AV. SAAVEDRA No. 1740
Feature,entidadesfinancieras.303,Point,-68.08041176,-16.54078291,geom,Mutual La Paz,Cajero Automático,AV. MONTENEGRO No. 1223
Feature,entidadesfinancieras.304,Point,-68.12589334,-16.51054002,geom,Mutual La Paz,Cajero Automático,Av. 20 de Octubre esq. C. Pedro Salazar  NÂº 2497
