type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Macrodistrito,properties/CodMacro,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,mercados.49,Point,-68.13703225,-16.48563465,geom,Maracaná,Av. Juan José Torrez,,PERIFERICA,3,11,11,,gustavo.nao,2016-06-07T14:55:35.903Z,
Feature,mercados.50,Point,-68.1217762,-16.50127524,geom,Miraflores,C. Díaz Romero,,CENTRO,7,2,2,,gustavo.nao,2016-06-07T14:56:50.787Z,
Feature,mercados.51,Point,-68.10287765,-16.4955177,geom,Nuestra Señora de La Paz,Av. Ciudad del Niño,,SAN ANTONIO,4,16,16,,gustavo.nao,2016-06-07T14:57:50.957Z,
Feature,mercados.52,Point,-68.14553455,-16.50112109,geom,Obispo Indaburo,Av. Buenos Aires Esq. C. Antonio Gallardo,,MAX PAREDES,2,7,7,,gustavo.nao,2016-06-07T14:58:52.907Z,
Feature,mercados.53,Point,-68.12359758,-16.52817804,geom,Raúl Salmón,Av. Mario Mercado Vaca Guzmán Esq. C. 5-Quiswaras,,COTAHUMA,1,4,4,,gustavo.nao,2017-10-04T13:10:23.843Z,
Feature,mercados.54,Point,-68.13901116,-16.50020141,geom,Rodríguez,C. Pedro Rodríguez Esq. C. Maximiliano Paredes,,COTAHUMA,1,6,6,,gustavo.nao,2016-06-07T15:03:14.400Z,
Feature,mercados.55,Point,-68.14395613,-16.51541386,geom,Las Rosas Cotahuma,"Pza. De la Democracia, C. Machicao",,COTAHUMA,1,5,5,,gustavo.nao,2018-09-12T14:44:54.700Z,
Feature,mercados.56,Point,-68.15315556,-16.5007872,geom,Sagrado Corazón de Jesús,C. Fortunato Pinto Esq. Av. Eduardo Abaroa,,MAX PAREDES,2,7,7,,gustavo.nao,2016-06-07T15:07:59.710Z,
Feature,mercados.57,Point,-68.15084741,-16.48777874,geom,Popular Pura Pura,C. Daniel Salamanca,,MAX PAREDES,2,10,10,,gustavo.nao,2016-06-07T19:16:22.973Z,
Feature,mercados.58,Point,-68.10547448,-16.52704917,geom,San Antonio,Av. 14 de Septiembre entre C. 11 - Mía Duberty Linndeman y C. 12 - Jaime Otero Calderón,,SUR,5,21,21,,gustavo.nao,2016-07-13T15:14:58.330Z,
Feature,mercados.59,Point,-68.14564762,-16.51043106,geom,San Cristóbal,C. Manuel Jofre Esq. Av. Feliciano Kantuta,,COTAHUMA,1,5,5,,gustavo.nao,2016-06-07T15:20:44.447Z,
Feature,mercados.60,Point,-68.10612833,-16.51091811,geom,San Isidro,C. Nieves Linares Esq. C. Boris Banzer,,SAN ANTONIO,4,17,17,,gustavo.nao,2016-07-13T15:22:14.910Z,
Feature,mercados.61,Point,-68.10068095,-16.56680922,geom,San José de Mallasilla,Av. Altamirano,,MALLASA,6,20,20,,gustavo.nao,2016-06-07T15:26:09.923Z,
Feature,mercados.62,Point,-68.15861901,-16.48913935,geom,San José de Munaypata,C. Cristo Vencedor Esq. C. San José,,MAX PAREDES,2,9,8,,gustavo.nao,2016-06-07T15:27:58.070Z,
Feature,mercados.63,Point,-68.10406055,-16.49114456,geom,San Juan,C. D Esq. C. 6,,SAN ANTONIO,4,16,16,,gustavo.nao,2016-06-07T15:31:45.247Z,
Feature,mercados.64,Point,-68.13674013,-16.50807885,geom,Sánchez Lima,C. Canónigo Ayllón,,COTAHUMA,1,6,6,,gustavo.nao,2017-10-04T13:25:08.673Z,
Feature,mercados.65,Point,-68.15624726,-16.48993114,geom,Santiago de Munaypata,Av. Desaguadero Esq. C. Río Calvario,,MAX PAREDES,2,9,9,,gustavo.nao,2017-10-04T13:26:43.987Z,
Feature,mercados.66,Point,-68.12958783,-16.50943945,geom,Sopocachi,C. Fernando Guachalla,,COTAHUMA,1,3,3,,gustavo.nao,2016-06-07T15:36:33.810Z,
Feature,mercados.67,Point,-68.13988843,-16.51589556,geom,Stronguest,Av. Víctor Agustín Ugarte,,COTAHUMA,1,4,4,,gustavo.nao,2016-06-13T23:20:16.467Z,
Feature,mercados.68,Point,-68.11630594,-16.49716938,geom,Teófilo Miranda,Av. 31 de Octubre,,SAN ANTONIO,4,15,15,,gustavo.nao,2016-06-07T15:42:10.120Z,
Feature,mercados.69,Point,-68.14367173,-16.49721796,geom,Uruguay,Av. Max Paredes Esq. C. Graneros,,MAX PAREDES,2,7,7,,gustavo.nao,2016-06-07T15:43:52.033Z,
Feature,mercados.70,Point,-68.14029829,-16.53422988,geom,Vergel Llojeta,Av. Buenos Aires,,COTAHUMA,1,4,4,,gustavo.nao,2016-06-07T15:44:32.977Z,
Feature,mercados.71,Point,-68.14429886,-16.49799813,geom,Vicente Ochoa,Av. Buenos Aires Esq. C. Vicente Ochoa,,MAX PAREDES,2,7,7,,gustavo.nao,2017-10-04T13:33:51.380Z,
Feature,mercados.72,Point,-68.11044504,-16.50884153,geom,Villa Armonía,C. Nieves Linares y C. Juan XXIII,,SAN ANTONIO,4,17,17,,carlos.medrano,2020-04-13T21:08:31.763Z,
Feature,mercados.73,Point,-68.14934635,-16.50542156,geom,Villa Nueva Potosí,C. Villamil de Rada Esq. C. Martin Monje,,COTAHUMA,1,5,5,,gustavo.nao,2016-06-07T15:54:15.420Z,
Feature,mercados.74,Point,-68.10842896,-16.49805657,geom,Modelo San Antonio,Av. Josefa Mujia,,SAN ANTONIO,4,15,15,,gustavo.nao,2016-06-07T15:57:52.790Z,
Feature,mercados.75,Point,-68.15171963,-16.49049938,geom,Villa Victoria,C. Virrey Toledo,,MAX PAREDES,2,8,8,,gustavo.nao,2017-10-04T13:40:51.110Z,
Feature,mercados.76,Point,-68.0869756,-16.57211466,geom,Virgén de la Candelaria,Av. 2 de Febrero esquina calle 7,,MALLASA,6,20,20,,nhuanquiri,2020-03-23T23:15:32.867Z,Estaba como mercado Mallasa
Feature,mercados.77,Point,-68.08441832,-16.51618987,geom,Virgen de las Nieves (Irpavi),Av. Circunvalación,,SUR,5,18,18,,gustavo.nao,2017-10-04T13:48:12.723Z,
Feature,mercados.78,Point,-68.12930039,-16.4970761,geom,Modelo Yungas,C. Yungas Esq. C. Uchumayo,,CENTRO,7,7,1,,carlos.medrano,2020-04-13T21:08:02.760Z,
Feature,mercados.79,Point,-68.14067901,-16.51587017,geom,Feria Itinerante Jaime Zudañez,,,COTAHUMA,1,4,4,,,,
Feature,mercados.80,Point,-68.1211065,-16.48047424,geom,Villa Fátima,Av. Tejada Sorzano Esq. C. Miguel Aparicio,,PERIFERICA,3,13,13,,carlos.medrano,2020-04-13T21:07:31.020Z,
Feature,mercados.81,Point,-68.14949492,-16.47559119,geom,Virgen de las Nieves (Achachicala),Av. Alfonso Ramos Gavilán Esq. C. Antonio de la Calancha,,PERIFERICA,3,11,11,,gustavo.nao,2017-10-04T13:45:41.367Z,
Feature,mercados.82,Point,-68.13174863,-16.49357954,geom,Bolívar Central,C. Bolívar Esq. C. Catacora,,PERIFERICA,3,11,11,,gustavo.nao,2016-06-13T23:20:44.230Z,
Feature,mercados.83,Point,-68.14760745,-16.49548317,geom,Calatayud,C. Calatayud Esq. Av. Baptista,,,,,7,gustavo.nao,gustavo.nao,2016-06-07T19:33:02.037Z,
Feature,mercados.84,Point,-68.13458098,-16.48591373,geom,Manuel Hoyos,Av. Juan José Torres,,,,,11,gustavo.nao,carlos.medrano,2020-04-13T21:07:00.990Z,
Feature,mercados.85,Point,-68.10763294,-16.51202727,geom,Urkupiña Bajo San Isidro,C. Donoso Torres Esq. C. Los Sauces,,,,,0,gustavo.nao,gustavo.nao,2016-06-07T19:43:40.323Z,
Feature,mercados.86,Point,-68.12756251,-16.50069336,geom,Modelo las Velas,Av. Simón Bolívar,,,,,2,gustavo.nao,gustavo.nao,2017-10-04T14:25:29.553Z,
