type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/objectid,properties/featureid,properties/TextString,properties/nombalfa,properties/alias,properties/zona,properties/tipovia,properties/om,properties/descripcion
Feature,ubicacionvias2.90,Point,-68.15746385,-16.49012821,geom,1358,373,"Arévalo, Juan","Arévalo, Juan",Juan Arévalo,Munaypata,c., ,c. Juan Arévalo (Munaypata)
Feature,ubicacionvias2.91,Point,-68.15415183,-16.48930392,geom,2954,376,Desaguadero,Desaguadero,Desaguadero,Munaypata,av., ,av. Desaguadero (Munaypata)
Feature,ubicacionvias2.92,Point,-68.16560087,-16.49048443,geom,3632,383,Florida,Florida,Florida,La Portada,av., ,av. Florida (La Portada)
Feature,ubicacionvias2.93,Point,-68.17050716,-16.48733086,geom,2139,396,C. 1,1,1,Villa Antofagasta,c., ,c. 1 (Villa Antofagasta)
Feature,ubicacionvias2.94,Point,-68.16806011,-16.48336288,geom,602,397,Callampaya,Callampaya,Callampaya,Villa Antofagasta,c., ,c. Callampaya (Villa Antofagasta)
Feature,ubicacionvias2.95,Point,-68.16503035,-16.48367186,geom,7640,402,Linares,Linares,Linares,Alto Munaypata Cusicancha,c., ,c. Linares (Alto Munaypata Cusicancha)
Feature,ubicacionvias2.96,Point,-68.16546455,-16.48014334,geom,2577,405,C. M,M,M,Alto Villa Victoria,c., ,c. M (Alto Villa Victoria)
Feature,ubicacionvias2.97,Point,-68.14861556,-16.48331588,geom,1747,406,"Shepard, Clive T.","Shepard, Clive T",Clive T Shepard,Pura Pura,c., ,c. Clive T Shepard (Pura Pura)
Feature,ubicacionvias2.98,Point,-68.13678496,-16.48627925,geom,1774,408,Segundo,Segundo,Segundo,Zona Norte,cj., ,cj. Segundo (Zona Norte)
Feature,ubicacionvias2.99,Point,-68.13085523,-16.48085856,geom,2293,414,C. 7,7,7,Cupilupaca,c., ,c. 7 (Cupilupaca)
