type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/objectid,properties/featureid,properties/TextString,properties/nombalfa,properties/alias,properties/zona,properties/tipovia,properties/om,properties/descripcion
Feature,ubicacionvias2.3097,Point,-68.14342274,-16.52769626,geom,1375,15325,Pumacahua,Pumacahua,Pumacahua,Pasankeri,c.,634/2013,c. Pumacahua (Pasankeri)
Feature,ubicacionvias2.3098,Point,-68.14356207,-16.52651859,geom,7410,15328,Roma,Roma,Roma,Pasankeri,c.,634/2013,c. Roma (Pasankeri)
Feature,ubicacionvias2.3099,Point,-68.14474292,-16.52740273,geom,3039,15331,Santa Rosa,Santa Rosa,Santa Rosa,Pasankeri,c.,634/2013,c. Santa Rosa (Pasankeri)
Feature,ubicacionvias2.3100,Point,-68.14025183,-16.52707539,geom,8446,15334,Isla de la Luna,Isla de la Luna,Isla de la Luna,Pasankeri,c.,634/2013,c. Isla de la Luna (Pasankeri)
Feature,ubicacionvias2.3101,Point,-68.13968442,-16.52653045,geom,2401,15337,Inca Roca,Inca Roca,Inca Roca,Pasankeri,c.,634/2013,c. Inca Roca (Pasankeri)
Feature,ubicacionvias2.3102,Point,-68.14032455,-16.52662983,geom,2731,15338,Antofagasta,Antofagasta,Antofagasta,Pasankeri,c.,634/2013,c. Antofagasta (Pasankeri)
Feature,ubicacionvias2.3103,Point,-68.14097526,-16.52659747,geom,1159,15341,Kalasasaya,Kalasasaya,Kalasasaya,Pasankeri,c.,634/2013,c. Kalasasaya (Pasankeri)
Feature,ubicacionvias2.3104,Point,-68.14435181,-16.5241034,geom,1348,15344,14 de Junio,14 de Junio,14 de Junio,Pasankeri,c.,634/2013,c. 14 de Junio (Pasankeri)
Feature,ubicacionvias2.3105,Point,-68.14189347,-16.52364969,geom,1618,15349,3 de Agosto,3 de Agosto,3 de Agosto,Pasankeri,c., ,c. 3 de Agosto (Pasankeri)
Feature,ubicacionvias2.3106,Point,-68.14778236,-16.52297651,geom,3824,15368,Chuquisaca,Chuquisaca,Chuquisaca,Pasankeri,c.,462/2013,c. Chuquisaca (Pasankeri)
Feature,ubicacionvias2.3107,Point,-68.14667924,-16.52281431,geom,2405,15373,Tarija,Tarija,Tarija,Pasankeri,c.,462/2013,c. Tarija (Pasankeri)
Feature,ubicacionvias2.3108,Point,-68.14557613,-16.52574781,geom,3714,15395,Alihuatá,Alihuatá,Alihuatá,Pasankeri,c.,588/2012,c. Alihuatá (Pasankeri)
Feature,ubicacionvias2.3109,Point,-68.14505305,-16.52654996,geom,3754,15399,La Paz,La Paz,La Paz,Pasankeri,c.,588/2012,c. La Paz (Pasankeri)
Feature,ubicacionvias2.3110,Point,-68.14030737,-16.52244273,geom,8728,15412,25 de Diciembre,25 de Diciembre,25 de Diciembre,Las Lomas,c., ,c. 25 de Diciembre (Las Lomas)
Feature,ubicacionvias2.3111,Point,-68.13745686,-16.52209343,geom,8511,15418,C. 10,10,10,Las Lomas,c., ,c. 10 (Las Lomas)
Feature,ubicacionvias2.3112,Point,-68.13765283,-16.52253141,geom,2308,15420,C. 9,9,9,Las Lomas,c., ,c. 9 (Las Lomas)
Feature,ubicacionvias2.3113,Point,-68.1369603,-16.52225829,geom,2362,15421,C. E,E,E,Las Lomas,c., ,c. E (Las Lomas)
Feature,ubicacionvias2.3114,Point,-68.13695654,-16.52334836,geom,3292,15427,C. F,F,F,Las Lomas,c., ,c. F (Las Lomas)
Feature,ubicacionvias2.3115,Point,-68.13758462,-16.52326231,geom,3900,15431,C. 8,8,8,Las Lomas,c., ,c. 8 (Las Lomas)
Feature,ubicacionvias2.3116,Point,-68.1367306,-16.52424124,geom,8618,15433,C. 7-A,7-A,7-A,Las Lomas,c., ,c. 7-A (Las Lomas)
Feature,ubicacionvias2.3117,Point,-68.13751849,-16.52475238,geom,8853,15435,C. G,G,G,Las Lomas,c., ,c. G (Las Lomas)
Feature,ubicacionvias2.3118,Point,-68.13858229,-16.52434479,geom,2170,15440,C. C,C,C,Las Lomas,c., ,c. C (Las Lomas)
Feature,ubicacionvias2.3119,Point,-68.13951573,-16.52463452,geom,2069,15441,C. 2,2,2,Las Lomas,c., ,c. 2 (Las Lomas)
Feature,ubicacionvias2.3120,Point,-68.14318487,-16.52338933,geom,8526,15445,6 de Agosto,6 de Agosto,6 de Agosto,Pasankeri,c., ,c. 6 de Agosto (Pasankeri)
Feature,ubicacionvias2.3121,Point,-68.14164391,-16.52666798,geom,8763,15449,"Montes, Ismael","Montes, Ismael",Ismael Montes,Pasankeri,c.,634/2013,c. Ismael Montes (Pasankeri)
Feature,ubicacionvias2.3122,Point,-68.13973377,-16.52780945,geom,1771,15455,Isla de la Luna,Isla de la Luna,Isla de la Luna,Pasankeri,c., ,c. Isla de la Luna (Pasankeri)
Feature,ubicacionvias2.3123,Point,-68.1142695,-16.52435522,geom,12888,15460,Costanera,Costanera,Costanera,Obrajes,av., ,av. Costanera (Obrajes)
Feature,ubicacionvias2.3124,Point,-68.12157122,-16.52286633,geom,2052,15468,C. L,L,L,Bajo Llojeta,c., ,c. L (Bajo Llojeta)
Feature,ubicacionvias2.3125,Point,-68.11580837,-16.5258547,geom,3262,15474,C. 12,12,12,Bajo Llojeta,c., ,c. 12 (Bajo Llojeta)
Feature,ubicacionvias2.3126,Point,-68.10520171,-16.52991177,geom,13615,15476,Costanera,Costanera,Costanera,Següencoma Bajo,av., ,av. Costanera (Següencoma Bajo)
Feature,ubicacionvias2.3127,Point,-68.10289806,-16.53632134,geom,2414,15479,C. 2,2,2,Alto Següencoma,c., ,c. 2 (Alto Següencoma)
Feature,ubicacionvias2.3128,Point,-68.10361615,-16.5361449,geom,890,15481,C. 3-1,3-1,3-1,Alto Següencoma,c., ,c. 3-1 (Alto Següencoma)
Feature,ubicacionvias2.3129,Point,-68.12137048,-16.52414735,geom,3948,15483,C. A,A,A,Bajo Llojeta,c., ,c. A (Bajo Llojeta)
Feature,ubicacionvias2.3130,Point,-68.12492193,-16.52789302,geom,1922,15484,El Trébol,El Trébol,El Trébol,Bajo Llojeta,c.,476/2010,c. El Trébol (Bajo Llojeta)
Feature,ubicacionvias2.3131,Point,-68.12221145,-16.52415592,geom,2342,15488,C. F,F,F,Bajo Llojeta,c., ,c. F (Bajo Llojeta)
Feature,ubicacionvias2.3132,Point,-68.12435458,-16.52885602,geom,1304,15495,Las Begonias,Las Begonias,Las Begonias (c. 4),Bajo Llojeta,c.,476/2010,c. Las Begonias (c. 4) (Bajo Llojeta)
Feature,ubicacionvias2.3133,Point,-68.10801537,-16.53383097,geom,2581,15499,C. C,C,C,Alto Següencoma,c., ,c. C (Alto Següencoma)
Feature,ubicacionvias2.3134,Point,-68.1177765,-16.52743465,geom,3391,15508,C. A,A,A,Bajo Llojeta,c., ,c. A (Bajo Llojeta)
Feature,ubicacionvias2.3135,Point,-68.10053151,-16.52525311,geom,884,15523,Huano Huanuni,Huano Huanuni,Huano Huanuni,Huanu Huanuni,c., ,c. Huano Huanuni (Huanu Huanuni)
Feature,ubicacionvias2.3136,Point,-68.09869321,-16.52293359,geom,3626,15524,C. 1,1,1,Huanu Huanuni,c., ,c. 1 (Huanu Huanuni)
Feature,ubicacionvias2.3137,Point,-68.09908434,-16.52758396,geom,2175,15527,Pj. A,A,A,Bella Vista,pje., ,pje. A (Bella Vista)
Feature,ubicacionvias2.3138,Point,-68.09884019,-16.52327486,geom,65,15529,C. 2,2,2,Huanu Huanuni,c., ,c. 2 (Huanu Huanuni)
Feature,ubicacionvias2.3139,Point,-68.09974152,-16.53513121,geom,2774,15530,C. 5,5,5,Alto Següencoma,c., ,c. 5 (Alto Següencoma)
Feature,ubicacionvias2.3140,Point,-68.09078693,-16.53343879,geom,7394,15532,C. 3,3,3,San Alberto,c., ,c. 3 (San Alberto)
Feature,ubicacionvias2.3141,Point,-68.08604833,-16.52560322,geom,800,15533,"García Lanza, José","García Lanza, José",José García Lanza (c. 5),Irpavi,c., ,c. José García Lanza (c. 5) (Irpavi)
Feature,ubicacionvias2.3142,Point,-68.08095995,-16.53483934,geom,3537,15534,C. 2,2,2,Koani,c., ,c. 2 (Koani)
Feature,ubicacionvias2.3143,Point,-68.07910731,-16.53089851,geom,8864,15535,C. 5,5,5,Koani,c., ,c. 5 (Koani)
Feature,ubicacionvias2.3144,Point,-68.08040888,-16.53034579,geom,8325,15536,Los Rosales,Los Rosales,Los Rosales  (c. 7),Alto Irpavi,c., ,c. Los Rosales  (c. 7) (Alto Irpavi)
Feature,ubicacionvias2.3145,Point,-68.08038289,-16.52713166,geom,993,15538,Los Geranios,Los Geranios,Los Geranios (c. 1),Alto Irpavi,c., ,c. Los Geranios (c. 1) (Alto Irpavi)
Feature,ubicacionvias2.3146,Point,-68.09461493,-16.52931194,geom,8429,15540,Los Saucos,Los Saucos,Los Saucos,Bella Vista,c.,406/2009,c. Los Saucos (Bella Vista)
Feature,ubicacionvias2.3147,Point,-68.09438664,-16.52818092,geom,386,15542,Lirio,Lirio,Lirio (cj. 3),Bella Vista,cj.,406/2009,cj. Lirio (cj. 3) (Bella Vista)
Feature,ubicacionvias2.3148,Point,-68.09351792,-16.52820933,geom,2335,15544,Molles,Molles,Los Molles,Bella Vista,c.,406/2009,c. Los Molles (Bella Vista)
Feature,ubicacionvias2.3149,Point,-68.09304072,-16.53560085,geom,1710,15547,Incachaca,Incachaca,Incachaca,Ventilla,c., ,c. Incachaca (Ventilla)
Feature,ubicacionvias2.3150,Point,-68.09375966,-16.53450865,geom,1850,15549,22 de Abril,22 de Abril,22 de Abril,Bella Vista,c., ,c. 22 de Abril (Bella Vista)
Feature,ubicacionvias2.3151,Point,-68.08110662,-16.53010484,geom,8468,15551,Los Pinos,Los Pinos,Los Pinos (c. 5),Alto Irpavi,c., ,c. Los Pinos (c. 5) (Alto Irpavi)
Feature,ubicacionvias2.3152,Point,-68.07932952,-16.53399101,geom,2297,15555,C. A,A,A,Meseta Achumani,c., ,c. A (Meseta Achumani)
Feature,ubicacionvias2.3153,Point,-68.09259737,-16.523623,geom,189,15559,"Carrasco, Jorge","Carrasco, Jorge",Jorge Carrasco,Bolognia,c., ,c. Jorge Carrasco (Bolognia)
Feature,ubicacionvias2.3154,Point,-68.07989994,-16.53174246,geom,3449,15561,C. 4,4,4,Koani,c., ,c. 4 (Koani)
Feature,ubicacionvias2.3155,Point,-68.07738993,-16.52595453,geom,2772,15564,C. 2,2,2,Aruntaya,c., ,c. 2 (Aruntaya)
Feature,ubicacionvias2.3156,Point,-68.07412306,-16.5224373,geom,2645,15577,C. 1,1,1,Aruntaya,c., ,c. 1 (Aruntaya)
Feature,ubicacionvias2.3157,Point,-68.06843762,-16.5301593,geom,2998,15582,C. 23,23,23,Achumani,c., ,c. 23 (Achumani)
Feature,ubicacionvias2.3158,Point,-68.07714138,-16.52895806,geom,8310,15585,"Guzmán Azpiazu, Mario","Guzmán Azpiazu, Mario",Mario Guzmán Azpiazu,Meseta Achumani,c.,310/2009,c. Mario Guzmán Azpiazu (Meseta Achumani)
Feature,ubicacionvias2.3159,Point,-68.0759238,-16.52379409,geom,2524,15586,C. 8,8,8,Aruntaya,c., ,c. 8 (Aruntaya)
Feature,ubicacionvias2.3160,Point,-68.0735043,-16.52490673,geom,7735,15587,"Ávila Villanueva, Silvia Mercedes","Ávila Villanueva, Silvia Mercedes",Silvia Ávila,Meseta Achumani,c.,609/2011,c. Silvia Ávila (Meseta Achumani)
Feature,ubicacionvias2.3161,Point,-68.06678312,-16.52398687,geom,7544,15590,C. 26,26,26,Achumani,c., ,c. 26 (Achumani)
Feature,ubicacionvias2.3162,Point,-68.07641357,-16.5302975,geom,2284,15595,C. 4-A,4-A,4-A,Meseta Achumani,c., ,c. 4-A (Meseta Achumani)
Feature,ubicacionvias2.3163,Point,-68.07782104,-16.53076721,geom,3862,15596,C. B,B,B,Meseta Achumani,c., ,c. B (Meseta Achumani)
Feature,ubicacionvias2.3164,Point,-68.05923093,-16.5295482,geom,2907,15608,C. 9,9,9,Condores Lakota,c., ,c. 9 (Condores Lakota)
Feature,ubicacionvias2.3165,Point,-68.06775308,-16.53349044,geom,2196,15610,C. 1,1,1,Achumani Porvenir Kantutas,c., ,c. 1 (Achumani Porvenir Kantutas)
Feature,ubicacionvias2.3166,Point,-68.06740055,-16.53500414,geom,7553,15611,Av. 1,1,1,Achumani Porvenir Kantutas,av., ,av. 1 (Achumani Porvenir Kantutas)
Feature,ubicacionvias2.3167,Point,-68.06768228,-16.53445494,geom,348,15612,C. II,II,II,Achumani Porvenir Kantutas,c., ,c. II (Achumani Porvenir Kantutas)
Feature,ubicacionvias2.3168,Point,-68.07094126,-16.53657765,geom,2390,15613,C. 4,4,4,Achumani Porvenir Kantutas,c., ,c. 4 (Achumani Porvenir Kantutas)
Feature,ubicacionvias2.3169,Point,-68.07014613,-16.5360488,geom,3544,15614,C. 1,1,1,Achumani Porvenir Kantutas,c., ,c. 1 (Achumani Porvenir Kantutas)
Feature,ubicacionvias2.3170,Point,-68.07064253,-16.53680322,geom,7323,15616,C. 3,3,3,Achumani Porvenir Kantutas,c., ,c. 3 (Achumani Porvenir Kantutas)
Feature,ubicacionvias2.3171,Point,-68.06015414,-16.5224968,geom,3201,15619,C. 5,5,5,Huantaqui,c., ,c. 5 (Huantaqui)
Feature,ubicacionvias2.3172,Point,-68.06791628,-16.52566306,geom,733,15621,"Chinchilla, José Manuel","Chinchilla, José Manuel",José Manuel Chinchilla,Achumani,c., ,c. José Manuel Chinchilla (Achumani)
Feature,ubicacionvias2.3173,Point,-68.07418559,-16.53026577,geom,12908,15621,"Chinchilla, José Manuel","Chinchilla, José Manuel",José Manuel Chinchilla,Achumani,c., ,c. José Manuel Chinchilla (Achumani)
Feature,ubicacionvias2.3174,Point,-68.07691535,-16.53523857,geom,1120,15628,Castillo,Castillo,Castillo,Achumani,c., ,c. Castillo (Achumani)
Feature,ubicacionvias2.3175,Point,-68.06811907,-16.53456096,geom,3852,15629,C. 4,4,4,Achumani Porvenir Kantutas,c., ,c. 4 (Achumani Porvenir Kantutas)
Feature,ubicacionvias2.3176,Point,-68.03796076,-16.53040292,geom,3604,15642,C. 4,4,4,Casegural,c., ,c. 4 (Casegural)
Feature,ubicacionvias2.3177,Point,-68.03549389,-16.53120922,geom,3585,15643,C. 2,2,2,Casegural,c., ,c. 2 (Casegural)
Feature,ubicacionvias2.3178,Point,-68.03491744,-16.53149719,geom,2117,15645,Pj. A,A,A,Ovejuyo,pje., ,pje. A (Ovejuyo)
Feature,ubicacionvias2.3179,Point,-68.04324737,-16.52682548,geom,7556,15651,C. 9,9,9,Huancané,c., ,c. 9 (Huancané)
Feature,ubicacionvias2.3180,Point,-68.04381242,-16.52701172,geom,2557,15662,C. 8,8,8,Huancané,c., ,c. 8 (Huancané)
Feature,ubicacionvias2.3181,Point,-68.03918469,-16.53082691,geom,2456,15669,Retamas,Retamas,62,Casegural,c.,019/2011,c. 62 (Casegural)
Feature,ubicacionvias2.3182,Point,-68.04749712,-16.53075205,geom,3177,15671,C. 4,4,4,Kesini,c., ,c. 4 (Kesini)
Feature,ubicacionvias2.3183,Point,-68.04757585,-16.53213979,geom,3693,15672,C. 1,1,1,Kesini,c., ,c. 1 (Kesini)
Feature,ubicacionvias2.3184,Point,-68.03578284,-16.52850169,geom,3334,15676,C. 27,27,27,Rosas de Calacalani,c., ,c. 27 (Rosas de Calacalani)
Feature,ubicacionvias2.3185,Point,-68.04099554,-16.53286591,geom,3971,15680,C. 1,1,1,Casegural,c., ,c. 1 (Casegural)
Feature,ubicacionvias2.3186,Point,-68.04096828,-16.53201296,geom,8307,15682,C. 2,2,2,Wilacota,c., ,c. 2 (Wilacota)
Feature,ubicacionvias2.3187,Point,-68.03983596,-16.53217013,geom,2265,15683,C. 4,4,4,Casegural,c., ,c. 4 (Casegural)
Feature,ubicacionvias2.3188,Point,-68.03511713,-16.53195837,geom,343,15688,Arenal,Arenal,Arenal,Ovejuyo,c., ,c. Arenal (Ovejuyo)
Feature,ubicacionvias2.3189,Point,-68.03846029,-16.53676851,geom,2182,15691,Litoral,Litoral,Litoral,Virgen de la Merced,c., ,c. Litoral (Virgen de la Merced)
Feature,ubicacionvias2.3190,Point,-68.0442888,-16.53554056,geom,8109,15692,"Peláez Medina, Mario (c. 24)","Peláez Medina, Mario (c. 24)",Sbtte. Mario Peláez Medina (c. 24),Chasquipampa,c.,701/2006,c. Sbtte. Mario Peláez Medina (c. 24) (Chasquipampa)
Feature,ubicacionvias2.3191,Point,-68.04325641,-16.53391839,geom,3214,15694,C. 6,6,6,Casegural,c., ,c. 6 (Casegural)
Feature,ubicacionvias2.3192,Point,-68.04213891,-16.53292322,geom,3404,15695,C. 9,9,9,Casegural,c., ,c. 9 (Casegural)
Feature,ubicacionvias2.3193,Point,-68.03892226,-16.52856314,geom,3420,15697,C. 10,10,10,Rosas de Calacalani,c., ,c. 10 (Rosas de Calacalani)
Feature,ubicacionvias2.3194,Point,-68.04223788,-16.52772016,geom,948,15702,"Arroyo, Nemecio","Arroyo, Nemecio",Nemecio Arroyo,Wilacota,c., ,c. Nemecio Arroyo (Wilacota)
Feature,ubicacionvias2.3195,Point,-68.03663721,-16.52726436,geom,244,15713,Colectora,Colectora,Colectora,Rosas de Calacalani,av., ,av. Colectora (Rosas de Calacalani)
Feature,ubicacionvias2.3196,Point,-68.03607352,-16.52744569,geom,2918,15716,C. 29,29,29,Rosas de Calacalani,c., ,c. 29 (Rosas de Calacalani)
Feature,ubicacionvias2.3197,Point,-68.04866377,-16.53418883,geom,3021,15718,C. 5-B,5-B,5-B,Coqueni,c., ,c. 5-B (Coqueni)
Feature,ubicacionvias2.3200,Point,-68.03965095,-16.53124115,geom,2412,15736,Tiahuanacu,Tiahuanacu,Tiahuanaco,Casegural,c.,019/2011,c. Tiahuanaco (Casegural)
Feature,ubicacionvias2.3201,Point,-68.03927583,-16.53194796,geom,620,15737,Olmos,Olmos,Olmos,Casegural,c.,019/2011,c. Olmos (Casegural)
Feature,ubicacionvias2.3202,Point,-68.03948987,-16.53155321,geom,1143,15738,Chuquiago,Chuquiago,Chuquiago,Casegural,c.,019/2011,c. Chuquiago (Casegural)
Feature,ubicacionvias2.3203,Point,-68.03884407,-16.53148859,geom,1420,15740,C. 62,62,62,Casegural,c., ,c. 62 (Casegural)
Feature,ubicacionvias2.3204,Point,-68.03738902,-16.53284308,geom,2858,15742,C. 5,5,5,Casegural,c., ,c. 5 (Casegural)
Feature,ubicacionvias2.3205,Point,-68.04163235,-16.53245409,geom,2194,15750,Las Rosas,Las Rosas,Las Rosas,Wilacota,av., ,av. Las Rosas (Wilacota)
Feature,ubicacionvias2.3206,Point,-68.04447362,-16.53206351,geom,2087,15751,C. 4,4,4,Wilacota,c., ,c. 4 (Wilacota)
Feature,ubicacionvias2.3207,Point,-68.05416395,-16.52257325,geom,3611,15759,C. 4,4,4,Huantaqui,c., ,c. 4 (Huantaqui)
Feature,ubicacionvias2.3208,Point,-68.03674685,-16.52674637,geom,72,15761,C. 31,31,31,Rosas de Calacalani,c., ,c. 31 (Rosas de Calacalani)
Feature,ubicacionvias2.3209,Point,-68.0937611,-16.54282997,geom,2203,15769,Costanera,Costanera,Costanera,Següencoma Bajo,av., ,av. Costanera (Següencoma Bajo)
Feature,ubicacionvias2.3210,Point,-68.09022798,-16.54576961,geom,2983,15772,Álamos,Álamos,Los Álamos,La Florida,av., ,av. Los Álamos (La Florida)
Feature,ubicacionvias2.3211,Point,-68.09283555,-16.53787658,geom,3510,15777,C. 25,25,25,Ventilla,c., ,c. 25 (Ventilla)
Feature,ubicacionvias2.3212,Point,-68.09285675,-16.55008733,geom,1989,15779,Gruta,Gruta,La Gruta,Amor de Dios,c.,618/2005,c. La Gruta (Amor de Dios)
Feature,ubicacionvias2.3213,Point,-68.08464939,-16.54714993,geom,3235,15780,C. 1,1,1,Alto La Florida,c., ,c. 1 (Alto La Florida)
Feature,ubicacionvias2.3214,Point,-68.06696548,-16.54304129,geom,2773,15800,Retamas,Retamas,Las Retamas,Cota Cota,c.,601/2008,c. Las Retamas (Cota Cota)
Feature,ubicacionvias2.3215,Point,-68.06593095,-16.54418606,geom,528,15803,Paseo de Gracia,Paseo de Gracia,Paseo de Gracia,Cota Cota,c.,601/2008,c. Paseo de Gracia (Cota Cota)
Feature,ubicacionvias2.3216,Point,-68.0718341,-16.54091219,geom,2813,15804,Los Pinos,Los Pinos,Los Pinos,Cota Cota,c.,601/2008,c. Los Pinos (Cota Cota)
Feature,ubicacionvias2.3217,Point,-68.06388726,-16.54136229,geom,7563,15807,Circunvalación,Circunvalación,Circunvalación,Cota Cota,av.,601/2008,av. Circunvalación (Cota Cota)
Feature,ubicacionvias2.3218,Point,-68.06575386,-16.54165337,geom,8345,15810,"Mansilla Romero, Hugo","Mansilla Romero, Hugo",Hugo Mansilla Romero,Cota Cota,c.,601/2008,c. Hugo Mansilla Romero (Cota Cota)
Feature,ubicacionvias2.3219,Point,-68.06651661,-16.54087715,geom,2541,15811,El Sol,El Sol,El Sol,Cota Cota,pje.,601/2008,pje. El Sol (Cota Cota)
Feature,ubicacionvias2.3220,Point,-68.06279823,-16.54503297,geom,12820,15812,"Cajías, Huáscar","Cajías, Huáscar",Huáscar Cajías,Cota Cota,c.,601/2008,c. Huáscar Cajías (Cota Cota)
Feature,ubicacionvias2.3221,Point,-68.06315856,-16.54024104,geom,1729,15812,"Cajías, Huáscar","Cajías, Huáscar",Huáscar Cajías,Cota Cota,c.,601/2008,c. Huáscar Cajías (Cota Cota)
Feature,ubicacionvias2.3222,Point,-68.06888175,-16.54180361,geom,8194,15813,Villarreal,"Villarreal López, Gualberto",Gualberto Villarreal López,Cota Cota,c.,601/2008,c. Gualberto Villarreal López (Cota Cota)
Feature,ubicacionvias2.3223,Point,-68.06946009,-16.54077607,geom,8201,15814,Guevara,"Guevara Arze, Walter",Walter Guevara Arze,Cota Cota,pje.,601/2008,pje. Walter Guevara Arze (Cota Cota)
Feature,ubicacionvias2.3224,Point,-68.06989062,-16.54084829,geom,8586,15815,"Torrez, Juan José","Torrez Gonzales, Juan José",Juan José Torrez Gonzales,Cota Cota,pje.,601/2008,pje. Juan José Torrez Gonzales (Cota Cota)
Feature,ubicacionvias2.3225,Point,-68.07028263,-16.54052842,geom,8366,15816,Ovando Candia,"Ovando Candia, Alfredo",Alfredo Ovando Candia,Cota Cota,pje.,601/2008,pje. Alfredo Ovando Candia (Cota Cota)
Feature,ubicacionvias2.3226,Point,-68.05692608,-16.54700021,geom,2630,15818,Queñuas,Queñuas,Las Queñuas,Pedregal,c., ,c. Las Queñuas (Pedregal)
Feature,ubicacionvias2.3227,Point,-68.07721689,-16.54554963,geom,7934,15820,"Aguirre Achá, J.","Aguirre Achá, José",José Aguirre Achá,San Miguel,c., ,c. José Aguirre Achá (San Miguel)
Feature,ubicacionvias2.3228,Point,-68.05549573,-16.5426888,geom,1440,15827,Pj. 1-B,1-B,1-B,Chasquipampa,pje., ,pje. 1-B (Chasquipampa)
Feature,ubicacionvias2.3229,Point,-68.07381775,-16.55105662,geom,2100,15828,C. 6,6,6,Auquisamaña,c., ,c. 6 (Auquisamaña)
Feature,ubicacionvias2.3230,Point,-68.03623195,-16.53854761,geom,1289,15838,Strongest,Strongest,Strongest,Ovejuyo El Arenal,c., ,c. Strongest (Ovejuyo El Arenal)
Feature,ubicacionvias2.3231,Point,-68.04307179,-16.54541617,geom,2292,15842,Bolivia,Bolivia,Bolivia,Virgen de Copacabana,c., ,c. Bolivia (Virgen de Copacabana)
Feature,ubicacionvias2.3232,Point,-68.04243189,-16.54533703,geom,1097,15844,Inglaterra,Inglaterra,Inglaterra,Virgen de Copacabana,c., ,c. Inglaterra (Virgen de Copacabana)
Feature,ubicacionvias2.3233,Point,-68.04188613,-16.54531609,geom,3405,15845,Canadá,Canadá,Canadá,Virgen de Copacabana,c., ,c. Canadá (Virgen de Copacabana)
Feature,ubicacionvias2.3234,Point,-68.04138987,-16.54438008,geom,1442,15846,Dinamarca,Dinamarca,Dinamarca,Virgen de Copacabana,c., ,c. Dinamarca (Virgen de Copacabana)
Feature,ubicacionvias2.3235,Point,-68.04265436,-16.54655334,geom,1549,15847,España,España,España,Virgen de Copacabana,c., ,c. España (Virgen de Copacabana)
Feature,ubicacionvias2.3236,Point,-68.04206923,-16.54606777,geom,3407,15851,Perú,Perú,Perú,Virgen de Copacabana,c., ,c. Perú (Virgen de Copacabana)
Feature,ubicacionvias2.3237,Point,-68.04041007,-16.54630321,geom,3675,15854,Costanera,Costanera,Costanera,Virgen de Copacabana,av., ,av. Costanera (Virgen de Copacabana)
Feature,ubicacionvias2.3238,Point,-68.04115115,-16.54580287,geom,8669,15858,5 de Agosto,5 de Agosto,5 de Agosto,Virgen de Copacabana,c., ,c. 5 de Agosto (Virgen de Copacabana)
Feature,ubicacionvias2.3239,Point,-68.05139323,-16.54751965,geom,7755,15869,C. XVII,XVII,XVII,Pedregal,c., ,c. XVII (Pedregal)
Feature,ubicacionvias2.3240,Point,-68.05101745,-16.54734358,geom,3253,15870,Kantutas,Kantutas,Las Kantutas,Pedregal,c., ,c. Las Kantutas (Pedregal)
Feature,ubicacionvias2.3241,Point,-68.05085455,-16.54571154,geom,3006,15873,Perimetral,Perimetral,Perimetral,Pedregal,c., ,c. Perimetral (Pedregal)
Feature,ubicacionvias2.3242,Point,-68.03817539,-16.53746624,geom,3428,15878,C. 10,10,10,Virgen de la Merced,c., ,c. 10 (Virgen de la Merced)
Feature,ubicacionvias2.3243,Point,-68.04246185,-16.54101848,geom,2469,15881,C. 25,25,25,Kupillani,c., ,c. 25 (Kupillani)
Feature,ubicacionvias2.3244,Point,-68.03631182,-16.54116795,geom,3000,15883,C. 15,15,15,Ovejuyo El Arenal,c., ,c. 15 (Ovejuyo El Arenal)
Feature,ubicacionvias2.3245,Point,-68.04517658,-16.5441744,geom,198,15889,Japón,Japón,Japón,Virgen de Copacabana,av., ,av. Japón (Virgen de Copacabana)
Feature,ubicacionvias2.3246,Point,-68.04630065,-16.54017089,geom,3793,15895,Circunvalación,Circunvalación,Circunvalación,Los Rosales Alto Calacoto,av., ,av. Circunvalación (Los Rosales Alto Calacoto)
Feature,ubicacionvias2.3247,Point,-68.05195705,-16.54305892,geom,12927,15895,Circunvalación,Circunvalación,Circunvalación,Chasquipampa,av., ,av. Circunvalación (Chasquipampa)
Feature,ubicacionvias2.3248,Point,-68.05258748,-16.54280819,geom,549,15897,Phaxsi,Phaxsi,Phaxsi,Chasquipampa,c.,184/2011,c. Phaxsi (Chasquipampa)
Feature,ubicacionvias2.3249,Point,-68.0544846,-16.54288523,geom,1885,15901,Pucara,Pucara,Pucara,Chasquipampa,cj.,184/2011,cj. Pucara (Chasquipampa)
Feature,ubicacionvias2.3250,Point,-68.04468628,-16.54078967,geom,7675,15905,Cristo Rey,Cristo Rey,Cristo Rey,Kupillani,c., ,c. Cristo Rey (Kupillani)
Feature,ubicacionvias2.3251,Point,-68.04563159,-16.54084214,geom,8686,15907,Chuquiago,Chuquiago,Chuquiago,Kupillani,c., ,c. Chuquiago (Kupillani)
Feature,ubicacionvias2.3252,Point,-68.04582561,-16.54157348,geom,253,15908,Vásquez,Vásquez,Vásquez,Los Rosales Alto Calacoto,av., ,av. Vásquez (Los Rosales Alto Calacoto)
Feature,ubicacionvias2.3253,Point,-68.04193218,-16.54082942,geom,3483,15913,C. 24,24,24,Kupillani,c., ,c. 24 (Kupillani)
Feature,ubicacionvias2.3254,Point,-68.0364737,-16.54171529,geom,3287,15914,C. H,H,H,Ovejuyo El Arenal,c., ,c. H (Ovejuyo El Arenal)
