type,id,geometry,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoChar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,agenciasviajes.75,,geom,Living Learning Travel,Av. Sanchez Bustamante #8009,CALACOTO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,18,,brenda.zuniga,2016-06-06T23:38:31.313Z,,Point,-68.08593939,-16.5409577
Feature,agenciasviajes.76,,geom,Vidatur S.R.L.,C. Loayza Esq. Mercado #273,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T23:38:57.280Z,,Point,-68.13292425,-16.49863846
Feature,agenciasviajes.77,,geom,Mountain & Jungle Travel - Expedition,C. Sagárnaga #392,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,0,,brenda.zuniga,2016-06-06T23:43:09.963Z,SE REPITE SOLO TIENE UNA SUCURSAL,,,
Feature,agenciasviajes.78,,geom,Turismo Kolla S.R.L.,Av. Camacho Edif.  Villanueva #1323,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T23:43:19.843Z,,Point,-68.13395418,-16.49887182
Feature,agenciasviajes.79,,geom,Boltur,Pza. Murillo #511,CENTRAL,Comercio y Servicios,ACT.AGENCIAS DE VIAJES Y ASISTENCIA A TURISTAS NCP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T23:43:31.603Z,,Point,-68.13392276,-16.49538052
Feature,agenciasviajes.80,,geom,Agencia de viajes y organizadores de viajes,C. Murillo #S/N,SAN PEDRO BELEN,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-06T23:45:20.977Z,,,,
Feature,agenciasviajes.81,,geom,Adventure on Wheels Bolivia,C. Sagárnaga #368,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-06T23:53:04.807Z,,,,
Feature,agenciasviajes.82,,geom,Nine Tours,Av. Sanchez Lima #2329,SOPOCACHI,Comercio y Servicios,ACT.AGENCIAS DE VIAJES Y ASISTENCIA A TURISTAS NCP,COTAHUMA,DISTRITO 3,3,,brenda.zuniga,2016-06-06T23:57:19.200Z,,,,
Feature,agenciasviajes.83,,geom,Natural Custom Outventures S.R.L.,Av. 21 de Junio Las Lomas #9,ACHUMANI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 18,18,,brenda.zuniga,2016-06-07T00:00:15.260Z,SERVICIOS TURÍTICOS,,,
Feature,agenciasviajes.84,,geom,Groben Turismo S.R.L.,"C. 5, Y C. 50 #253",CHASQUIPAMPA,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,19,,brenda.zuniga,2016-06-07T00:01:31.267Z,,,,
Feature,agenciasviajes.85,,geom,Cade S.R.L.,Av. 16 de Julio #1490,SAN PEDRO BAJO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,3,,brenda.zuniga,2016-06-07T00:04:23.697Z,,Point,-68.13314509,-16.5015039
